	chr1:99299224-99299373	chr1:99299374-99299523	chr1:99299524-99299673	chr1:99299674-99299823	chr1:99299824-99299973	chr1:99299974-99300123	chr1:99300124-99300273	chr1:99300274-99300403	chr1:99300404-99300423	chr1:99300424-99300573	chr1:99300574-99300723	chr1:99300724-99300873	chr1:99300874-99301023	chr1:99301024-99301173	chr1:99301174-99301213	chr1:99301214-99301323	chr1:99301324-99301383	chr1:99301384-99301473	chr1:99301474-99301623	chr1:99301624-99301773	chr1:99301774-99301923	chr1:99301924-99302073	chr1:99302074-99302223	chr1:99302224-99302373	chr1:99302374-99302453	chr1:99302454-99302523	chr1:99302524-99302673	chr1:99302674-99302823	chr1:99302824-99302903	chr1:99302904-99302973	chr1:99302974-99303123	chr1:99303124-99303273	chr1:99303274-99303423	chr1:99303424-99303573	chr1:99303574-99303723	chr1:99303724-99303783	chr1:99303784-99303873	chr1:99303874-99303933	chr1:99303934-99304023	chr1:99304024-99304173	chr1:99304174-99304323	chr1:99304324-99304397	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	1.2076	1.04804	0.198494	1.2505	0.580568	0.510244	0.482538	0.733441	0.156826	0.0556812	0.962572	0.229546	0.122289	0.232396	0.0619125	0.465322	0.473319	0.351301	0.253439	0.779814	1.24495	0.989537	0.477997	0.813938	0.971954	0.511794	0.129973	0.541966	0.61151	0.69597	1.2845	2.10794	1.6504	1.48029	0.730935	0.192357	0.860021	1.12852	0.709377	0.267623	0.0690611	0.424481	0.804213
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	0	0	0	0	0	0	0.730603	0.473625	0	0	0	0	1.29067	1.0555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8102	0.551429	0.286434	0.55549	0.988745	0	0	0	0	0	0.512271	0.635199	0.566372
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.e95554aa-fb20-4b17-91ac-139d0399c1c8.fc.signal	0.403635	0.952104	0.578658	0.725797	0.533822	0.663178	0.872908	0.739089	0.45268	0.286676	0.383884	0.345131	0.543628	0.732086	0.620015	0.855329	0.764643	0.48195	0.678992	0.558593	0.878344	1.2433	1.45911	1.00796	0.468237	0.223083	0.00150853	0.0248907	0.285701	0.70485	1.74944	1.30987	0.829998	1.03146	0.581896	0.594216	0.613021	0.849483	0.767032	0.510652	0.330787	0.343838	0.617729
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.92b83b8d-5485-446e-910e-2f148077cb85.fc.signal	0	0	0.122789	0.218563	0.245678	0	0.306975	0.00727738	0	0.283726	0.131091	0.282613	0.834954	0.0976382	0	0	0	0	0	0	0.339089	0.0153743	0	0.831119	0.017983	0	0	0	0	0.413318	1.06032	0.4345	0.677674	0.299686	0.473522	0.741359	0.890143	0.692971	0.286955	0.194188	0	0	0.446194
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.affdcac3-6070-43fc-99e1-6c9751bbcbf6.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164785	0.296839	0.386004	0.0553047	0.0519187	0.1693	0.268999	0.180587	0.163657	0	0.0823927	0.256238	0.458801
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.837482	0.910245	0.512516	0.614094	0.779241	0.696672	0.338757	0.0133463	0	0.131594	1.01233	0.311514	0.199239	0	0	0	0	0	0	0.0128527	0.546462	0.301044	0.530461	1.16153	0.7627	0.046966	0	0	0.908437	1.68959	2.06665	1.05017	1.56364	0.663908	0.635964	0.903093	1.27293	1.19302	0.7647	0.0528807	0.152236	0.77408	0.769568
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.fc38d8a2-8f66-4203-ae35-4bfe2174aadb.fc.signal	0.267934	0.432033	0.443211	0.467762	0.156301	0.0412945	0.254531	0.180301	0.16741	0.323781	0.0948873	0	0.0636158	0.279103	0.16741	0.296873	0.33495	0.413075	0.609603	0.224392	0.285805	0.126132	0	0.13561	0.33495	0.176984	0.200918	0.148467	0.416594	0.76079	0.447654	0.213201	0.447875	0.468161	0.291382	0.362852	0.64757	0.429837	0.260491	0.491247	0.879782	0.579363	0.573529
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.6e93a1e0-8828-4ce5-83f8-36249902bda2.fc.signal	0.356156	0.56796	0.147034	0.290366	0.158115	0.133155	0	0	0	0	0.320677	0.0522509	0.177801	0.841538	0.29936	0.11158	0.432053	0.678679	0.437746	1.3212	0.154635	0.407847	1.17065	1.37849	0.273559	0.00855314	0.07185	1.10628	2.38149	2.28254	1.07862	0.899883	0.70819	0.250746	0.208554	0.518151	0.847723	1.05962	0.879058	0.204772	0.549151	1.18455	0.733607
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.84110ecf-3acc-4ab9-918a-d46b0401ed1e.fc.signal	0.86729	0.949824	0.746761	0.632799	0.406126	0.406126	0.406126	0	3.04594	0.193674	0.349647	0.088167	0.494939	0.214976	0	0.99012	1.01259	0	0	0.203063	0.203063	0	0.0275419	1.0874	0.638691	0.435135	0	0.203063	0	1.74054	1.29046	2.79057	1.63696	1.96033	0	0.930752	0.0910338	1.11365	0.72438	0.463676	0.952826	0.35418	0.680251
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f19b01fb-285f-4aa3-a654-49a7198b9c00.fc.signal	0.169386	0	0	0.534507	0.331244	0	0	0	0	0	0.0715185	0.56462	0.229612	0.18256	0.28231	0.382402	0.28231	0.28231	0.0451696	0	0	0	0.28231	0.45546	0.239964	0	0	0	0	0	0.0376413	0.355711	0.769765	0.568384	0	0	0	0	0	0	0.184443	0.28231	0.664931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0	0	1.09291	0.498034	0	0	0	0.0319252	1.03757	0.629459	0.262851	0.532619	0	0.915141	1.03757	0.367866	0	0	0	0	0	0	0.207514	1.04449	0.635512	0	0	0	0	0.54843	0.94073	0.394277	0	0	0.712071	1.4353	0.391971	0	0	0	0	0	0.58037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001956.2.fe4e2c35-293c-45d0-aa4a-9678c367d2df.fc.signal	0	0.0830391	0.227729	0	0	0	0	0	0	0	0	0.00428587	0.61765	0	0	0	0	0	0	0.322083	0.0026788	0.59263	0.0468745	0	0.471573	0.532554	0.262693	0	0	0.224193	0.564317	0.340393	1.34347	1.05574	0.296879	0.57309	0.460543	0	0.532357	0.608416	0.267424	0.228504	0.644903
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.c19bd00a-5c6a-4173-86bf-6f467b56a6c8.fc.signal	0.204568	0.0627144	0.491282	0.494268	0.146332	0.147825	0.421074	0.0327355	0	0.803426	1.16332	1.00952	1.0812	0.377786	0.44795	0.305422	0	0.103094	0.44494	0.0821253	0.0716736	0.712346	0.410697	0.271759	0.65246	0.659263	0.267279	0	0	0.0351969	0.776571	0.6301	0.47913	0.121454	0.184863	0	0	0	0.179184	0.19113	0.0955648	0.22398	0.658238
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.138484bb-d1db-4537-b285-bd13fe5a9644.fc.signal	0.335345	0.314883	0.921692	1.00345	0.933618	0.389996	0.471157	0.195992	0	0.172052	0.575325	0.347089	0.657553	0.901792	0.267434	0.969198	0.603629	0.728006	0.324558	0.963685	0.788695	0.254406	0.340831	1.14545	0.266274	0.635737	0.294196	0.182372	0.483525	0.571478	1.41856	0.882427	0.792731	1.40583	0.800769	0.0706642	1.05877	1.36665	0.422107	0.987458	0.847078	0.383685	0.551724
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.4f07d906-46cb-4b49-9eca-84ffb88233a3.fc.signal	0.336633	0.262178	0.20932	0.284464	0.308059	0.645216	0.878987	0.618535	0.440229	0.558393	1.09309	0.172397	0.290621	0.295044	0.144376	0.0639305	0	0.248742	0.496082	0.839467	0.604583	0.36524	0.897259	0.732154	0.213898	0.002107	0	0.0380187	0.683545	2.28373	3.80685	1.07645	0.651754	0.448841	1.24016	0.990321	0.521029	0.27069	0.152177	0.0373166	0.383	0.723089	0.623762
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004604.3.90b22b5d-3f31-4944-a92b-e05b092bb019.fc.signal	0	0.0642664	0.27654	0.735965	0.0915183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515157	1.04166	1.28677	0.0328168	0	0.58903	1.97873	1.45543	0.314826	0.13827	0.180659	0.55249	0.454849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.9c4780de-3fe9-463d-b53b-5fe60a9ad8a2.fc.signal	1.56762	0.0957156	0.228224	0.218458	0.370356	0.672898	0.0670432	0.135377	0.235582	0.208641	0.218901	0.362259	0.740248	0.354763	0.0568455	0.789456	1.03774	0.970657	0.930192	0.599416	0.337932	1.07156	0.321359	0.737662	0.528963	0.325152	0.24055	0	0	0.258126	0.567109	0.78188	0.51755	0.314235	0.503424	1.31107	2.02158	2.11726	1.10405	0.498888	0.65716	0.26116	0.439076
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.9cc24acd-6188-40e5-bad4-b78f8ccb0b3a.fc.signal	1.27599	0.457925	0	0.265434	0.597002	0.74528	1.03623	0.0262703	0	0	0.109878	1.04559	0.0443537	0	0	0	0	0	0	0.0509954	0.841952	0.43495	0.148262	1.54948	1.47433	0.644389	0.076901	0	0	0	0.838849	1.5068	0.90234	1.34921	0.710808	0.677412	1.07001	0.853851	0.553616	0.444586	0.251011	0	0.39726
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004618.1.f3b6006d-3e3a-44fa-b4a9-49a87f36ab7f.fc.signal	0.703233	0.388735	0.717658	0.752365	0.258235	0.502196	0.299823	0.716317	0.242237	0.27185	1.52078	0.657169	1.35715	0.707233	0.490433	0.396213	0.361177	0.607463	0.509926	0.969179	0.938618	0.710362	1.26893	0.809011	1.26492	0.676454	0.160127	0	0.231202	1.03368	0.580595	0.576117	1.40232	0.856115	1.19778	1.02283	1.03361	0.413918	0.238362	0.279502	0.292845	0.416719	0.6
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.bb047498-09b9-4c13-b396-ee9ca79dcf59.fc.signal	0.0560133	0.29358	0.377267	0.322632	0.0962755	0	0.162883	0.747842	0.03593	0.29405	0.229175	0.280222	0.259814	0.372745	0.940765	0.661358	0.278733	0	0	0.281521	0.872455	1.32291	1.36443	0.882806	0.570266	0	0	0	1.57207	2.58726	1.17808	2.38297	2.92418	1.50529	1.08882	0.0668718	0.50105	1.15023	0.961678	0.99751	1.57907	1.22052	0.725208
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.7281ed79-ca1f-4f34-ad6b-6aeb18d6b751.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.bd79aee4-cb3e-4358-b4aa-2b3125cb6682.fc.signal	0.314151	0.0379148	0.34665	0.0054164	0.181449	0.170617	0	0	0	0	0	0.769129	1.06974	0.674342	0.40623	0.265896	0	0.0722187	0.308735	0.0839542	0.268112	0	0.0839542	0.360191	0.40623	0.0928526	0	0	0	0	0.21124	0.747463	0.584971	1.43535	1.01287	0.582263	0.027082	0.81246	0.604831	0.514558	0.858499	1.78961	0.383621
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.e09563f2-ad32-412b-91d3-8f5c1229dde6.fc.signal	1.7218	1.39967	0.515705	0.48617	0.762177	0.778261	0.846457	1.32323	1.11875	0.686148	0.25066	0.477753	0.905293	0.629408	0.689443	1.2948	1.52465	0.968044	0.861315	0.853512	0.483718	0.530957	0.886468	1.00688	0.753337	0.375841	0.355373	0.445879	0.98331	1.02266	0.843473	0.602605	1.09563	1.58829	0.52078	0.686966	0.713033	0.888797	1.07128	0.660038	0.568299	0.874572	0.505747
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.2d49fd2f-74c0-448e-a30b-e44db7e3a5ff.fc.signal	0.961094	0.88644	0.685155	1.09681	0.373849	0	0	0	0	0	0	0.0893839	0.33798	0.177835	0	0	0	0	0.291042	0.739812	0.642073	0	0	0.554339	0.39618	0	0	0	0	0	0.375829	0.974508	0.67048	0.00368213	0.0589141	0.593804	1.57356	1.35109	0.220217	0.372015	0.365492	0.712555	0.6
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.7e686e4a-008d-44af-95b1-78718b51ae70.fc.signal	0.715904	0.623708	0.759029	1.2718	0.143986	0.551371	1.17588	1.1722	0.25585	0.0412816	1.64618	0.737338	1.17865	0.561408	0.242203	1.71635	1.73201	0.110918	0.783885	0.473891	0.64146	0.0624471	0.736062	1.19469	0.898264	1.02573	0.471785	0.198015	0	0	1.13682	0.924296	0.424433	0.831498	1.11898	0.418037	0.457499	0.255857	0.811278	0.509889	1.01118	1.464	0.83
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.424bbc61-947c-4459-9db6-6a124654e2c1.fc.signal	0.442688	0.147065	0.187151	0.384734	0.0831637	0.482734	0.371366	0.22276	0.22276	0.151495	0.542189	0.511003	0.331244	0.0609017	0.696265	1.01681	1.05091	0.680796	0.839246	1.39107	0.346647	0.0460371	0.0653448	0.766489	0.868918	0.747977	0.586741	0.145564	0	0.11138	0.424856	0.310981	0.2832	0.0697981	0.0950443	0.22276	0.539708	0.605305	0.67337	1.05907	0.748378	0.0875951	0.534382
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.a94a6b89-542c-4e29-9116-4cbe6008554d.fc.signal	0.71559	1.14943	1.16283	1.03715	0.340189	0.09453	0.66057	0.171912	0.15413	0.450639	1.23625	0.876137	0.478299	0.303561	0.510641	0.359753	0.349652	0.698666	1.14876	1.16868	0.439701	0.946518	1.30383	0.903534	0.593107	0.595087	0.106453	0.337878	0.62401	0.930626	1.2361	1.12921	0.746988	0.752302	0.524727	1.67119	2.96018	2.40678	1.95938	0.298533	0.469277	1.27558	0.691577
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.803d7f5d-192e-4b5b-9ea2-f9b8994e9342.fc.signal	0.43785	0.460503	0.454226	0.456837	0.369707	0.674503	0.853481	0.750457	0.668204	0.652076	0.858229	0.480588	0.0284079	0.0207094	0.108495	0.235883	0.42966	1.05251	1.50347	0.537638	0.438543	0.371948	1.11943	1.5667	0.803358	0.0929896	0	0.0154913	0.177909	0.639916	1.2177	1.88289	1.75486	0.861763	0.681754	0.505662	0.658296	0.675642	0.792587	0.876071	0.317155	0.12751	0.385965
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.5efb4e46-177f-4d3d-96a6-19f7c95acfd8.fc.signal	0.233494	0.528879	0.123716	0.632142	0.118153	0	0.548569	0.258067	0	0	0.263338	0.702846	1.09222	0.590908	0	0.248946	0.164843	0	0.563557	0.378043	0.957363	0.366401	0	0.529074	0.481795	0.515651	0	0	0.139289	0.351593	0.352618	1.4554	1.65172	0.374246	0.55958	0.791155	1.76595	1.23539	0.226853	0.158641	0.430281	0.269506	0.579208
