	chr1:230772054-230772203	chr1:230772204-230772353	chr1:230772354-230772503	chr1:230772504-230772653	chr1:230772654-230772703	chr1:230772704-230772803	chr1:230772804-230772833	chr1:230772834-230772953	chr1:230772954-230773103	chr1:230773104-230773253	chr1:230773254-230773403	chr1:230773404-230773553	chr1:230773554-230773623	chr1:230773624-230773703	chr1:230773704-230773853	chr1:230773854-230773943	chr1:230773944-230774003	chr1:230774004-230774153	chr1:230774154-230774303	chr1:230774304-230774383	chr1:230774384-230774453	chr1:230774454-230774603	chr1:230774604-230774663	chr1:230774664-230774713	chr1:230774714-230774753	chr1:230774754-230774823	chr1:230774824-230774903	chr1:230774904-230775053	chr1:230775054-230775203	chr1:230775204-230775353	chr1:230775354-230775413	chr1:230775414-230775503	chr1:230775504-230775573	chr1:230775574-230775653	chr1:230775654-230775803	chr1:230775804-230775953	chr1:230775954-230776103	chr1:230776104-230776193	chr1:230776194-230776253	chr1:230776254-230776313	chr1:230776314-230776403	chr1:230776404-230776453	chr1:230776454-230776553	chr1:230776554-230776703	chr1:230776704-230776853	chr1:230776854-230777003	chr1:230777004-230777131	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0.615218	0.657585	0.404642	0.080781	0.0437756	0.159257	0.237492	0.314927	0.134556	0.04933	0.238079	0.276569	0.356075	0.555376	0.465705	0.175441	0.073964	0.167764	0.56511	0.717814	0.667899	1.50225	1.67058	1.60764	0.99562	0.946714	0.967291	0.763922	0.690557	0.580408	0.492484	0.580461	0.900311	0.74158	0.236872	0.192154	0.2396	0.462241	0.723527	1.00739	0.87417	0.61946	0.513034	0.64496	0.97347	0.863602	0.670739	0.400922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001009.4.6c91eb19-cf51-4ff7-b713-f8f2fc326b1d.fc.signal	0.293142	0.201701	0.0127212	0	0	0.0365624	0.504946	0.65271	0.354528	0.901771	0.694629	0.582807	0.513066	0.187469	0.120729	0.760416	0.626179	0.0915741	0.36948	0.136385	0.235339	0.304899	0.544138	0.339601	0.0785603	0	0	0.140173	0.787137	0.369052	0.0505737	0.239965	0.63409	1.25826	0.905818	0.453232	0.0760569	0.0803757	0.143473	0.193164	0.464911	0.599877	0.228675	0.114603	0.24663	0.399621	0.218557	0.494059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	1.87688	0.749127	0	0	0	0	1.22315	1.75298	0.502365	1.53213	0.624152	0.192861	0	0	0	0	0.130313	1.69524	2.11913	0.768553	1.14122	0.483986	0	0.354717	1.18239	1.33441	3.05918	1.56469	1.01272	2.57395	0	0.407268	1.18239	1.16761	0.173417	1.15575	0.0496413	0	0	0	0	0	0	0	0	0	0	0.58209
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001234.5.0e619ad9-ebc8-47ed-93f9-8d329910a69e.fc.signal	1.01811	1.05929	1.57947	1.21873	0.794981	0.0408796	0.200293	0.752987	0.99923	0.94707	0.274558	0.437935	0.83035	0.448787	0.272944	0.241296	0.263618	0.787978	0.504893	0.85012	0.643835	0.556792	1.23885	0.943237	0.161892	0.257282	1.05839	0.424663	0.560545	1.96728	2.21287	0.748546	1.07098	1.22821	0.755915	0.034529	0.154648	0.844949	0.993047	0.618669	0.710574	1.7687	1.8813	0.734239	0.510293	1.21739	0.647734	0.36859
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001012.4.85be5809-5a62-4b0b-9ffb-29881f7da7c3.fc.signal	0.409413	0.642099	1.23752	0.422443	0.328051	0.129177	0.25022	0.347328	0.222715	0.421174	0.508674	0.220136	0.106331	0.147034	0.322218	0.0822728	0.239597	0.118347	0	0	0	0.0574445	0.463572	0.204045	0.045356	0.739708	0.89821	0.281085	0.46649	1.26156	1.05714	0.525447	0.189847	0.392282	0.278002	0.283762	0.558908	0.185554	0.883212	0.77906	0.212129	0.297521	0.49154	0.3798	0.385492	1.19644	0.474461	0.615003
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001014.4.c5ae491c-ef59-4b85-83e8-7c458c9d3645.fc.signal	0.334063	0.0765328	0.283606	0.597504	0.145501	0.0045208	0.0565467	0.295726	0.026178	0.0883733	0.173119	0.203909	0.19518	0.167012	0.591783	0.482183	0.335642	0.178674	0.265133	0.202003	0.475684	0.106245	0.395869	0.443714	0.246205	0.0197509	0.282169	0.155278	0	0.21646	0.840084	0.869432	0.650533	0.262686	0.422767	0.311879	0	0.101397	0.714275	1.54349	1.39261	0.862988	0.467689	0.42144	0.246759	0.614015	0.0592845	0.45842
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001005.4.295db198-fe3f-4319-97a2-6e37da59d182.fc.signal	0.844314	0.528661	0.503415	0.497933	0.358799	0.373169	0.347113	0.414059	0.422473	0.799476	0.936095	0.371509	1.04791	0.939486	1.13561	0.466178	0.477	0.37934	0.129841	0	0.200882	0.44846	0.870062	0.553135	0.089682	0.171518	0.0932231	0.0206469	0.449116	0.732512	1.20835	0.217101	0.544904	0.580821	0.581439	0.239954	0.245824	0.538259	0.683407	1.17424	1.05454	0.732598	0.911543	0.834402	0.418858	0.360385	0.490671	0.457413
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003812.1.7f19b755-763d-4552-86cc-5866c38edfa6.fc.signal	0.387384	0.898825	0.139504	0	0	0	0	0.135719	0.693825	1.17787	0.642281	0.426812	0.152117	0.212509	0.985659	0.903822	0.787402	0.714732	0.0329042	0.371803	1.35183	0.888277	0.279995	0.433654	0.277656	0.939436	1.57512	1.5222	0.658736	0.152146	0.264711	0.374863	0.257313	0.7097	0.708138	0	0.0115104	1.35245	2.64902	3.38769	2.43283	0.484904	0.153787	0.973098	0.514686	0.82969	0.951842	0.510691
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001016.4.764ff188-5975-4398-93ca-ac1cbb246bef.fc.signal	0.166071	0.217242	0.224803	0.265337	0	0	0	0.20564	0.403399	0.329325	0.22319	0.317396	0.388034	0.138217	0.120484	0	0	0.113045	0.404485	0	0	0.125511	0.369949	0.270713	0.129942	0	0	0.889164	0.691547	1.22104	0.087621	0	0	0	0.0679048	0.475515	0.382911	0.0769449	0.522097	0.965106	1.06853	0.550182	0.398373	0.0795088	0	0	0.306995	0.285088
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001010.4.ca2bdc9d-950a-4d36-8a9f-03ff16443029.fc.signal	0.325307	0.391063	0.397419	0.644375	0.230052	0.0434829	0	0.0408409	0.0812549	0.175754	0.411078	0.636613	0.411301	0.258615	0.16251	0.152393	0.110222	0.183935	0.239322	0.273176	0.350684	0.313524	0.334169	0.339344	0.297046	0.215884	0.354397	0.672858	0.814408	0.68846	0.297242	0.243597	0.211307	0.315171	0.164136	0.327397	0.24204	0.487577	0.937454	1.02046	0.833728	0.886101	0.825074	0.517787	0.145893	0.7071	0.447033	0.130081
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e8717b6c-436c-4750-b776-17ab8ac934dd.fc.signal	0	0	0.112843	0.911427	0.744319	0	0	0.287695	0.318314	0.412363	0.797308	0.282803	0.604509	0.320896	1.01894	1.79767	0.997321	1.15757	2.30054	0.625924	0.513823	0.176626	0.094036	0.938852	1.6683	1.63255	0.427461	0.683937	0.23354	0	0	0	0	0	0.0222419	1.24006	0.487731	0.073136	0.937192	1.10512	0.789987	0.936134	0.848182	0.46224	1.31342	1.0282	0.418754	0.577348
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001020.4.024b7548-e9d9-4ae1-9595-849a0178db6f.fc.signal	0.607686	0.775526	0.754864	0.554042	0.759441	0.314561	0.280122	0.522536	0.336122	0.610059	1.20221	0.650016	0.646275	0.344142	0.137087	0.450223	0.342644	0.816501	0.77773	0.766723	0.503949	0.454575	0.551816	0.419072	0.258892	0.323099	0.487421	0.656474	0.552537	0.550723	0.226882	0.339851	0.270796	0.480676	0.382323	0.735872	1.00213	0.669898	0.698283	0.759401	0.841955	0.498127	0.87179	0.921052	0.445908	0.949979	0.362151	0.530504
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.74b350f6-e337-49cb-b533-051914db11db.fc.signal	2.06175	1.17985	1.74718	1.38736	1.26707	0.223624	0	0.00373325	0.817712	0.662344	0.0152421	1.16996	1.75461	1.14495	0.460445	1.43177	1.31536	0.372916	1.00268	1.83561	0.986338	1.23577	2.42403	2.17725	1.14984	1.34304	0.638376	1.03499	0.631163	1.13675	0.144155	0.336577	0.708849	0.648523	0	0.350816	2.37835	1.99001	0.598816	0.237089	0.9485	1.30267	0.94171	0.658336	1.78995	2.85654	1.54875	0.653214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001013.4.770958ed-9bbe-4b12-bd7b-8137c6cce8cb.fc.signal	0.0932895	0.379004	0.770413	0.48343	0.116076	0.102006	0.243596	0.132315	0.550565	1.55358	0.902423	0.469609	0.177523	0	0.0280624	0.286499	0.575865	0.591671	0.531431	0.434943	0.186807	0.607324	0.524631	0.269803	0.00671275	0.650905	1.18181	0.433938	0.00704107	0.597432	0.445609	0.170778	1.37901	1.32397	0.270285	0.0557483	0.161204	0.349176	0.683846	0.856702	0.835254	0.928241	0.572705	0.645859	0.327433	0.925907	0.142083	0.376744
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001015.4.5c0d3bc3-2483-4334-82c2-b98db24b9499.fc.signal	0.688536	0.833552	0.186063	0.00461133	0.101671	0.138223	0.228891	0.189677	0.0695609	0.342529	0.192432	0.207599	0.355807	0.189969	0.259493	0.201158	0.189607	0.250895	0.578249	0.4998	0.36603	0.356983	0.526797	0.366475	0.255734	0.330941	0.3082	0.674795	0.522669	0.477937	0.360247	0.636557	0.815297	0.95192	0.599174	0.208003	0.642255	0.738384	0.941847	1.04618	0.856752	0.693002	0.831358	0.456557	0.245116	0.644887	0.323611	0.503876
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.f859dcbd-afbe-4ae5-8435-ea7adf39970c.fc.signal	0.730125	1.12329	0.912528	0.155673	0	0	0	0	0.140556	1.86657	2.14931	0.68738	1.08503	1.20412	1.11338	1.63362	2.21212	1.49585	1.07197	1.08222	0.423847	0	0	0	0	0	0	0.567286	1.11223	0.398936	0	0	0	0	0.424214	1.55672	0.855034	1.7272	1.5284	1.12824	0.617096	0.86153	1.54076	1.43537	0.587709	0.195531	0.560758	0.539009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.aa91ddbb-920b-4389-adfc-bc95d87573a2.fc.signal	1.68569	2.34612	0.459847	0	0	0	0	0	0.0656857	0.689183	0.823663	1.22655	1.31494	0.717648	0.109456	0.937512	1.53294	1.19028	0.696552	0	0	0	0	0	0	0	0.156657	0.564415	0.454771	0.285862	0.171729	0.500804	0.558131	0.26602	0.560785	0	1.20146	1.45507	0.205481	0.604916	1.1432	1.05663	0.19322	0.772414	0.950783	1.22684	0.400471	0.692118
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.3fd172f1-2dff-4354-a3a1-c7faa70478b7.fc.signal	0.536767	1.01736	1.58697	0.328735	0.27634	0.0752991	0.11987	0.2863	0.531228	0.630905	0.138811	0.379081	0.816913	0.666483	1.2511	0.977191	1.05907	1.47789	1.17865	0.623774	0.351385	0.219868	0.351416	0.224121	0.0726802	0.296109	0.738614	0.330242	0.238261	0.953595	0.826804	0.535686	0.949123	0.719747	0.905771	0.0336203	0.0400893	0.483993	0.317948	0.617794	1.74187	1.65627	1.32408	0.413897	0.334793	0.701792	0.546406	0.428251
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.9d84c99a-dac5-45a2-b863-f9fa27db5859.fc.signal	0.595994	0.389068	0.736795	0.328656	0.20771	0.365097	0.451109	0.3318	0.729762	0.818146	0.35022	0.58806	0.716167	0.675823	0.632731	0.864424	0.798517	0.481169	0.871309	0.221396	0.57877	1.12374	1.67078	0.528858	0.009818	0.25926	0.72842	0.168377	0.223239	0.222582	0.180501	0.487987	0.545448	0.638115	0.949216	0.600614	0.576659	0.672681	0.769337	0.840341	0.530174	0.337847	0.687952	0.481053	0.767303	0.574931	0.4814	0.472868
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.404b0fff-7a57-4978-8379-3089d99854a9.fc.signal	1.9554	0.66734	0.863027	0.863091	0.818671	0.70963	1.28208	1.03583	1.14342	0.760185	0.884174	0.283278	1.3109	2.60007	3.86845	4.13601	2.54505	1.18253	0.688792	0.925985	1.54295	1.46412	0.478934	0.690179	0.571106	0.490967	0.377219	0.467091	1.31635	1.0997	0.913537	0.122548	0.113442	0.493562	0.621726	1.08246	0.810551	1.35121	1.30818	0.946166	1.29144	1.44889	1.03501	0.731389	0.838424	1.11411	1.82669	0.535957
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003396.1.4bb6cf38-793d-41e7-af37-1f5641085d37.fc.signal	0.26708	2.3176	0.763798	0.0499962	0.705668	0.913914	0.560417	0.200939	0.345107	1.91745	1.83668	1.21149	0.338241	1.92405	2.47679	0.326914	0.684917	1.34615	0.799348	0.826837	0.410847	1.48098	2.92015	1.43672	0.0510495	0	0	0.698813	1.98936	1.20648	1.11778	1.36063	0.682455	0.64021	0.68352	0.287913	0.627481	0.967593	1.8874	1.19049	0	0.641542	2.42058	0.853163	0.448503	1.13197	1.93694	0.600497
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001007.4.1a97b39a-ee79-4473-a53d-52cf42dd3336.fc.signal	0.325947	0.662676	1.29436	0.525245	0.120748	0.705465	0.323198	0	0.419877	1.02845	0.199604	0.199525	0.626154	0.7314	0.907713	0.701885	0.162674	0.486633	0.835425	0.328929	0	0.216992	0.35006	0.0933948	0	0.109693	1.01798	0.575349	0.437017	0.472308	0.01765	0.385865	0.46756	0.686205	0.667446	0.29884	0.417911	0	0.20935	0.381342	0.608249	1.39363	0.902296	0.380825	0.624694	0.182167	0.156125	0.366534
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003402.2.d3186b4d-954d-4e57-a34d-97e0da3e61a0.fc.signal	0.424225	1.14784	1.32983	0.232855	0	0	0	0.69374	0.843992	0.565638	0.558917	0.386202	0.134508	0.48509	0.413152	0.360771	0.443156	0.20376	0.723845	0.924551	1.26301	2.51242	1.69228	0.164088	0.587454	0.58959	0.508836	0.621707	0.864567	0.416917	0.695877	0.642807	0.268184	0	0.122593	0.590912	0.599839	1.18182	0.60353	0.00994833	0	0.0440916	0.804764	0.827606	0.433128	0.533476	0.598138	0.704425
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000241.3.18fe17d2-55ea-4c69-b11d-e29a99b3a271.fc.signal	0.313207	0.25193	0.135551	0.0919105	0.0688872	0.0558168	0.077413	0.0986098	0.0672679	0.124579	0.166896	0.135291	0.204715	0.234373	0.334532	0.738478	0.800933	0.805566	0.974459	0.653028	0.69556	0.987133	1.04215	0.493032	0.350311	0.343765	0.334043	0.668242	0.867085	0.609631	0.227578	0.221831	0.438898	0.524979	0.908245	1.04134	0.422054	0.325276	0.970656	1.19479	1.15743	0.885488	0.262747	0.0110336	0.434468	0.844017	0.584439	0.45
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.8b041313-9130-46c7-a7b6-9eca4440f0be.fc.signal	0.641137	1.00023	0.334629	0.523508	0.261955	0.0509706	0	0.37784	0.336493	0.709193	1.23541	0.36403	0.250153	0.254417	0.710527	0.637981	0.291542	0.11625	0.381903	0.150866	0.00707571	0.657065	0.677699	0.528904	0.090805	0.261647	1.15437	0.664171	0.411972	0.271181	0.360312	0.336726	0.85176	0.528163	0.281998	0.680674	1.57525	0.860734	0.656565	0.347418	0.558645	1.47889	1.02193	0.439087	0	0.145375	0.743663	0.405479
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000953.7.bf11ac1b-8dad-44dd-9341-8c4e3e027748.fc.signal	2.83426	0.834015	2.3359	0.864793	0	0	0.0601747	0.977207	0.893646	0.532771	0.185933	2.03581	2.64331	0.767828	1.62472	2.01876	0.196004	1.25628	2.72212	1.34231	3.22266	1.57346	0.983256	0	0	0	0	0.446512	1.31692	0.483109	0	0	0.853575	3.14326	1.18319	0	0.287546	0.920177	0	0	0.469189	1.77883	0.842296	0	0.226706	0.59822	0.258657	0.411215
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001025.7.737b5bf1-d829-45ff-8c28-1667416be068.fc.signal	0.374817	0.666446	0.867072	0.155517	0	0	0	0.317373	0.721959	0.759549	1.06959	0.635808	0.573238	0.441517	0.669656	0.850282	0.551325	0.711491	1.91549	1.63569	1.48386	0.40715	1.20616	1.11423	0.537167	0.15584	0.284368	0.329211	0.296794	0.562328	0.764708	0.827311	1.099	1.07388	0.359335	0.829563	0.493779	0.721715	0.567062	1.02371	1.42277	1.02144	0.861964	0.29708	0.605935	0.57691	1.13309	0.481766
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001011.4.567c133d-62ea-4adf-bc97-6ef3e532e6a6.fc.signal	0.6135	0.359718	0.180385	0.245879	0.140657	0.148348	0.217309	0.431552	0.29527	0.520549	0.811734	0.392705	0.192016	0.0198023	0.169676	0.238302	0.249105	0.374146	0.19588	0.0781952	0.254123	0.475917	0.655613	0.441183	0.14285	0.133896	1.06333	1.08983	0.100115	0.0419679	0.191974	0.210359	0.0604457	0	0.18542	0.433461	0.316019	0.611732	0.914984	0.898408	0.945556	1.14633	1.19874	0.168294	0.241699	0.371918	0.311596	0.356495
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.f15be373-5bad-4963-a06f-42b469a3cf40.fc.signal	0.698065	0	0	0.798357	1.87339	0.207707	0	0.554977	1.50798	2.47237	1.43178	0.776974	1.40343	0.339192	1.02233	1.43015	0.4381	1.77678	0.662608	0	0.588889	3.16475	4.17434	1.53109	0	0	0.592554	1.80017	0.417287	1.20293	1.21927	0	0.689508	2.24699	0.525893	0	0	0	2.9962	4.01556	0.693826	0.669434	0.466305	0.618441	1.37837	1.34197	0.516698	0.336245
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000983.7.0397ac10-5d52-43ec-8084-1b153343aa3a.fc.signal	0.469398	0.961694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147212	1.07813	0.77282	1.44644	1.4124	1.19185	1.51157	0.840535	1.55953	0.661443	0	0	0	0	0	0	1.06357	3.78827	6.60794	5.94159	0.471778	0.589103	5.10213	2.20819	1.39599	3.48248	1.42417	0.59292
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003401.1.dfa9d4a9-0f86-41c6-822f-1f52d8db067a.fc.signal	0.892126	0.328245	0.348889	0.940601	0.0783774	1.33048	1.41826	0.348868	0	0	0.806544	0.823028	1.09788	0.606614	0.730131	0.599275	0.032655	0	0.590488	0.0685125	0	0.248196	2.17282	1.76453	0.94998	0.0407134	0.0235592	0.676177	1.22526	0.656179	1.94847	0.730823	0.659365	2.42495	0.290149	0.141958	0.79436	1.63721	0.761118	0.966548	1.1178	1.0097	1.34858	0.0319315	0.25319	0.646094	1.09132	0.536111
