	chr9:4601679-4601828	chr9:4601829-4601978	chr9:4601979-4601998	chr9:4601999-4602128	chr9:4602129-4602278	chr9:4602279-4602428	chr9:4602429-4602578	chr9:4602579-4602728	chr9:4602729-4602878	chr9:4602879-4603028	chr9:4603029-4603088	chr9:4603089-4603178	chr9:4603179-4603248	chr9:4603249-4603278	chr9:4603279-4603328	chr9:4603329-4603418	chr9:4603419-4603428	chr9:4603429-4603478	chr9:4603479-4603558	chr9:4603559-4603628	chr9:4603629-4603678	chr9:4603679-4603698	chr9:4603699-4603718	chr9:4603719-4603778	chr9:4603779-4603928	chr9:4603929-4604078	chr9:4604079-4604228	chr9:4604229-4604258	chr9:4604259-4604278	chr9:4604279-4604378	chr9:4604379-4604528	chr9:4604529-4604678	chr9:4604679-4604738	chr9:4604739-4604808	chr9:4604809-4604828	chr9:4604829-4604978	chr9:4604979-4605128	chr9:4605129-4605278	chr9:4605279-4605428	chr9:4605429-4605578	chr9:4605579-4605628	chr9:4605629-4605728	chr9:4605729-4605878	chr9:4605879-4606028	chr9:4606029-4606178	chr9:4606179-4606208	chr9:4606209-4606288	chr9:4606289-4606328	chr9:4606329-4606388	chr9:4606389-4606478	chr9:4606479-4606528	chr9:4606529-4606628	chr9:4606629-4606688	chr9:4606689-4606748	chr9:4606749-4606769	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.47ac92c8-3161-452d-8dd3-b7ed71169f80.fc.signal	0.160814	0.267484	0.207123	0.0167148	0	0.130696	0.0356176	0.254101	0.578347	0.0839042	0.11315	0.0950523	0	0	0	0.186063	0.201516	0.2196	0.198651	0.15072	0.282673	0.38833	0.530376	0.447209	0.436844	0.212259	0.252368	0.150554	0.096675	0.0594251	0.128962	0.290937	0.241168	0.0271394	0	0.00238764	0.150879	0.136143	0.402941	0.336547	0.522045	0.343612	0.517672	0.109247	0.00612876	0	0	0	0	0	0	0	0	0	0	0.289617
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.00528f90-1767-43ef-bb37-a22f6e9f4039.fc.signal	0.724214	0.730487	0.527695	0.210748	0.485163	0.120388	0.280215	0.494478	0.312084	1.18934	0.664031	0.891645	0.937453	0.414483	0.30372	0.225289	0.382464	0.369452	0.301023	0.628695	0.791954	0.676831	0.491263	0.198922	0.239535	0.167548	0.305227	0.436646	0.694597	0.75921	0.391122	0.0203537	0	0.121138	0.412209	0.701804	0.657046	0.480248	0.544273	0.917519	0.295774	0.186105	0.620302	0.43953	0.524947	0.124084	0	0	0	0	0	0	0	0	0	0.425743
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.d51ed427-007f-40d3-b98a-eaa67c358ae9.fc.signal	0	0.0346906	0.122889	0.138109	0.142675	0.00793967	0.0538527	0.105002	0.0993339	0.0451149	0	0	0	0.0523107	0.0812184	0.0780586	0.073856	0.108603	0.162185	0.139769	0.0959276	0.095548	0.09657	0.0934755	0.0133547	0	0	0	0	0	0	0.012576	0.088285	0.0935981	0.156317	0.173037	0.0834549	0.0109648	0.00666233	0.130468	0.19315	0.19315	0.10301	0	0	0	0	0	0	0	0	0	0	0	0	0.513699
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.6c44093e-8a4f-4f36-9bdc-4181cde15c47.fc.signal	0.780863	2.26695	2.95801	2.43772	0.894125	0.518878	0.22926	0.753094	0.408782	0	0	0	0	0	0	0.0579047	0.285276	0.28921	0.379137	0.426675	0.18891	0	0.065595	0.391201	1.63944	2.69404	1.15029	0.09461	0.18447	0.706637	1.10484	0.291365	0.316909	0.56756	0.837199	1.23729	1.00689	0.598359	0.682984	0.56756	0.158935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650246
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.f6bea37b-7779-4621-9ed2-82fb7b23df8f.fc.signal	1.88234	0.584475	0	0.334856	0.7384	0.577858	0.205915	0.456778	0.31854	0.130648	0.0429217	0	0	0.0107893	0.147036	0.171281	0.30578	0.250623	0.221802	0.244825	0.120839	0.111429	0	0.0602543	0.289718	0.0596619	0.235802	0.481891	0.49534	0.557466	0.44651	0.240477	0.074286	0	0	0.235613	0.398415	0.468956	0.171227	0.799133	0.49534	0.113082	0.248101	0.328438	0.782228	0.70901	0.376648	0	0	0	0	0	0	0	0	0.586957
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.97f665f6-6f48-4b26-ac5c-9db0c04ef7bc.fc.signal	0.535966	0.291011	0.197519	0.0977348	0.0714331	0.0288455	0.292371	0.0137901	0.145529	0	0	0.224091	0.0763683	0	0	0.0478353	0.137739	0.227896	0.164006	0	0	0.0772975	0.237567	0.414523	0.504093	0.259473	0.189158	0.29103	0.315103	0.098535	0.0559441	0.0523038	0.526652	0.423506	0.344346	0.159088	0.307914	0.212976	0.0421866	0.052374	0.389016	0.199254	0.340193	0.272153	0.0680372	0	0	0	0	0	0	0	0	0	0	0.377049
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.8871bb3d-7ee4-4151-b7f6-e200809c7bd1.fc.signal	0.567641	0.319422	0.42811	0.313331	0.290165	0.573664	0.284642	0.337731	1.04657	0.512787	0.2973	0.637403	0.725224	0.562763	0.302534	0.133462	0.13334	0.264956	0.362133	0.449899	0.205886	0.166972	0.095524	0.058704	0.251835	0.689304	0.273858	0.235974	0.23006	0.10456	0.147876	0.353024	0.552007	0.502475	0.636473	0.353608	0.562139	0.480741	0.468138	0.343489	0.105598	0	0.226421	0.528	0.167438	0.28541	0.22119	0.1427	0.0166483	0	0	0	0	0	0	0.339623
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.5433b540-f9ea-4edf-8a0e-cdc2c654fa20.fc.signal	0.902188	0.522533	0	0	0	0	0	0	0	0.51897	0.871176	0.304989	0	0	0	0	0	0	0	0	0	0	0	0	0.113184	0.523376	0	0	0	0	0.258149	0.504658	0	0	0.032661	0.519201	0.0911838	0	0	0	0	0	0	0	0.662138	1.18239	0.975472	0	0	0	0	0	0	0	0	0.313433
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.01d071c9-f298-47b3-9bd4-0b04699959a8.fc.signal	1.01136	0.684615	0.407715	0.38516	0.536652	0.142493	0.170544	0	0	0.32403	0.528584	0.234683	0	0	0	0.181649	0.49542	0.459107	0.373688	0.294939	0.32812	0.306255	0.29822	0.0979967	0.177673	0.333246	0.104472	0.250439	0.485159	0.700528	0.560953	0.279756	0.11149	0.101093	0.100574	0.00658227	0.104667	0.323189	0.512187	0.197326	0.122212	0.898965	0.454718	0.13865	0.0154056	0	0	0	0	0	0	0	0	0	0	0.411429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003845.2.794488aa-2650-453d-b408-62a2d6724c53.fc.signal	0.387733	0.126828	0.242705	0.182401	0.17883	0.221762	0.305443	0.301143	0.392569	0.34875	0.204704	0.0682838	0	0	0.0368706	0.334916	0.44498	0.432437	0.319417	0.107183	0.119195	0.128985	0.131312	0.130358	0.0060158	0	0.0245793	0.114847	0.17959	0.283076	0.560235	0.743151	0.443479	0.295822	0.322345	0.540398	0.496013	0.26329	0.334214	1.41491	1.55138	1.01593	1.04315	0.542822	0.200745	0	0	0	0	0	0	0	0	0	0	0.421053
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.982b1a46-0bf8-457b-a213-1cec9bf76346.fc.signal	0.94021	0.583378	0.38558	0.500999	0.228858	0.286458	0.409049	0.342646	0.14317	0.341159	0.322533	0	0.215637	0.38704	0.38704	0.537556	0.38704	0.38704	0.319308	0	0.0154816	0.38704	0.38704	0.38704	0.564745	0.395566	0.167213	0.38558	0.38558	0.196644	0.0343805	0.148203	0.907073	1.10796	0.77408	0.539276	0.750681	1.04961	0.07726	0	0.028917	0.332233	0.195982	0.162557	0.314793	0	0	0	0	0	0	0	0	0	0	0.53913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000231.3.24a1fcd8-2a4a-4091-be70-d4c06c7ee2cc.fc.signal	0.0474969	0.441179	0.628202	0.463796	0.0237263	0	0.118881	0.291806	0.129688	0.0575179	0.177828	0.449847	0.478853	0.697088	0.686035	0.470901	0.547015	0.42936	0.155209	0	0.0583596	0.16211	0.16211	0.16211	0.953382	0.9696	0.111316	0	0	0	0	0	0	0	0	0.126934	1.12618	0.536841	0.006992	0	0	0.0913378	0.229766	0.113161	0	0	0	0	0	0	0	0	0	0	0	0.560241
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000230.3.eca9fb65-4b68-4689-9dc2-ca87771c92ab.fc.signal	0.84118	0.584972	0.38551	0.170629	0.18064	1.35804	1.46116	0.998804	0.534753	0.11537	0.364408	0.302164	0.329541	0.343651	0.215604	0.389307	0.647083	0.735132	0.927888	0.837292	0.61864	0.145231	0.0897525	0	0.838541	1.41327	0.417563	0	0	0	0.217312	0.46563	0.512934	0.829369	0.900538	0.839643	1.46889	1.2439	0.663272	0.152121	0	0	0.516861	1.22933	0.970088	0.558778	0.267784	0.0349305	0	0	0	0	0	0	0	0.707965
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.0bc39444-c5d6-4c2e-a719-a28af7034202.fc.signal	0.305644	0.63385	0.729617	0.906223	1.23319	1.93767	2.47591	2.68915	1.79357	1.12475	1.93787	2.29016	1.79409	1.21716	0.811818	0.393638	0.018627	0	0	0	0	0	0	0.30463	1.50503	3.13805	1.78534	0.60935	0.60935	0.106635	0	0	0	0	0	0	0.493026	0.658367	0.136747	0	0.0426888	0.400888	0.820665	0.873188	0.707706	0.30463	0.25132	0	0	0	0	0	0	0	0	0.60177
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004614.1.954b2eef-b887-4e5e-9bfd-a189bb44a099.fc.signal	0.680509	0.336828	1.61675	0	0.0302219	0.325136	0.484462	0.809421	0.243653	1.22657	0	0.765166	0.491892	0	0	0	6.88649	0.573588	0	0.983784	0	1.61675	0	0	0	0	0	0	1.45434	0	0.380954	0.688134	0.899717	0	0	0.0830505	0	0.419733	0.477072	0	0	0.344324	0.191196	0.22955	0	0	0	0	0	0	0	0	0	0	0	0.401786
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.b3e823f8-bdfb-415e-8681-ed2acdcbeb38.fc.signal	0.543604	0.367142	0.203156	0.0973012	0.50142	1.08473	1.3825	1.01061	0.671914	0.373617	0.420949	0.871722	0.659281	0.25728	0.226516	0.420529	0.2438	0.307074	0.355226	0.188065	0.228036	0.405137	0.42341	0.242206	0.104189	0.709239	0.252037	0.112544	0.19988	0.235032	0.82027	0.053545	0	0	0	0.208495	0.936905	0.822329	0.892881	0.602712	0	0	0.167505	0.832086	0.282897	0	0.401312	0.551371	0.167502	0.375334	0.508098	0.0502506	0	0	0	0.570681
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.ee2442de-4362-4f9f-9331-9ed79b0e0f3c.fc.signal	0.356039	0.338907	0	0.223353	0.387852	2.00229	1.72692	0.744584	1.07215	1.49614	1.32637	2.86567	2.0688	1.74906	1.11347	1.81559	1.74906	1.17187	0.0655898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491116	1.09982	0	0	0	0	0.0335203	0.87601	1.46769	2.38027	0.622542	0.739269	1.03757	0.311271	0	0	0	0	0	0	0.697368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004609.2.3aca4661-f677-47cf-b2b4-9335fbd4c1a8.fc.signal	0.881862	0.172155	0.486081	0.234794	0.0120861	0.839837	0.451832	0.574075	1.569	0.328897	0.762495	0.520897	0.22466	0.07232	0.336116	0.408545	0.330972	0.506854	0.656013	0.427796	0.328187	0.151724	0	0.0597522	0.218297	0.252374	0.376839	0.612979	0.507425	0.826091	1.05265	0.959371	0.341701	0.75532	0.87102	0.742667	0.381699	0.821731	1.21935	0.576457	0.5565	0.372326	0.496479	0.626529	0.224144	0.0241067	0	0	0	0	0	0	0	0	0	0.111111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e8717b6c-436c-4750-b776-17ab8ac934dd.fc.signal	1.0968	1.77214	0.986487	0.0759489	0.35347	0.50041	0.1876	0.209964	0.552511	0.307681	0.18996	0.628165	0.589107	0	0	0	0	0	0	0	0	0	0	0.15266	0.538609	0.336483	0.128194	0	0	0	0	0.323059	0.298569	0.713552	0.695216	0.312193	0.683731	0.289447	0	0	0	0.442057	0.537764	0.200177	1.10102	0.83407	0.688108	0	0	0	0	0	0	0	0	0.37766
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.c8287f3a-ec01-4e9b-9790-466f356c7045.fc.signal	0.159121	0.104761	0.26129	0.3672	0.493132	0.45228	0.635077	0.221715	0.204627	0.270099	0.0781378	0.0896154	0.405124	0.41926	0.401079	0.174717	0	0.0637904	0.3257	0.350875	0.293542	0.079681	0	0	0.12277	0.371475	0.838355	1.30356	1.35099	0.891055	0.42023	0.275037	0.0208133	0.0763289	0.12488	0.466535	0.700215	0.309275	1.12214	0.864939	0.365015	0.37451	0.256304	0.22967	0.302893	0.49926	0.471183	0.0437048	0	0	0	0	0	0	0	0.330709
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001875.2.c8e36202-3364-4044-b761-9decdba45b1b.fc.signal	0.393617	0.33525	0.40374	0.273041	0	0	0	0.647128	0.491639	0	0	0.75235	0.373773	0	0.28422	0.83077	0.845902	0.0995532	1.24717	2.68733	1.32323	0.56518	0	0.0941998	1.18517	0.778415	1.28278	0	0	0	0	0	0	0.200534	1.03628	0.472346	1.29399	0.659498	1.6369	0.269513	0	0.461419	0.499221	0	0	0	0	0	0	0	0	0	0	0	0	0.424528
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.4f07d906-46cb-4b49-9eca-84ffb88233a3.fc.signal	0	0	0	0.0124788	0.336467	0.487387	0.562436	0.274497	0.0320102	0	0	0	0.114927	0.18025	0.342475	0.402561	0.3605	0.439814	0.500201	0.574235	0.497498	0.3605	0.3605	0.189263	0.0240333	0	0	0	0	0	0	0	0	0.038625	0.486317	0.834323	0.37306	0	0	0.356898	0.72101	0.53715	0.054075	0	0	0	0	0	0	0	0	0	0	0	0	0.555556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003817.1.8283360d-85c5-47d8-8e88-2dbecb596c14.fc.signal	0.168527	0.142518	0.16249	0.182142	0.15202	0.214911	0.0123775	0	0.0540631	0.0510151	0.0709678	0.14683	0.0230733	0.0978867	0.14683	0.0978867	0	0.029366	0.271475	0.315295	0.14683	0.029366	0	0.0195773	0.118964	0.120326	0.0455633	0.143284	0.174549	0.140504	0.0195127	0	0	0.00146629	0.205987	0.194558	0.101639	0.0756699	0	0.159679	0.304367	0.387246	0.508945	0.111539	0.0675418	0.14683	0.302649	0.29346	0.11252	0	0	0	0	0	0	0.607143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004617.2.88e56c75-286f-4a1a-b576-b35887e484d4.fc.signal	0.249111	0.31709	0.541951	0.694669	0.33732	0.0157665	0.209879	0.229522	0.140602	0.351004	0.429528	0.608716	0.440642	0.935358	1.16192	1.22679	1.12812	0.736061	0.239686	0.254022	0.313951	0.27993	0.263241	0.249825	0.269022	0.195463	0.0521157	0.141807	0.295641	0.398832	0.46975	0.861714	0.537054	0.262151	0.15205	0.0324357	0.237206	0.296486	0.47703	0.332193	0.242494	0.212901	0.202085	0.217133	0.130631	0	0	0	0	0	0	0	0	0	0	0.431472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.dc1d2dc3-279f-44dc-a6f1-0d5154726fd5.fc.signal	0.371061	0.399266	0.386458	0.40271	0.54672	0.629181	0.449234	0.616157	0.746988	0.627908	0.709429	0.720038	0.668446	0.7044	0.601757	0.43828	0.483018	0.468926	0.322026	0.280338	0.20124	0.176098	0.0755025	0	0.060402	0.254948	0.792798	1.19413	1.30311	1.46512	2.1118	1.82199	1.05992	0.635369	0.649032	0.972031	1.01899	0.648012	0.697662	0.750001	0.50315	0.254597	0.0456371	0.0140878	0.20124	0.20124	0.20124	0.103139	0	0	0	0	0	0	0	0.245098
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003691.3.6671b082-a817-48d2-abb0-2b33e6b6a3bd.fc.signal	0.149694	0.429036	0.62002	0.604751	0.318275	0.350457	0.205016	0.0382916	0.288706	0.398261	0.266512	0.264783	0.197672	0.151563	0	0	0	0	0	0	0	0.12396	0.12396	0.140497	0.522418	0.374156	0.203286	0.13043	0.19465	0.224612	0.293162	0.652261	0.489915	0.386611	0.268005	0.249177	0.118111	0.0940987	0.228274	0.23312	0.24803	0.24803	0.0173573	0	0	0	0	0	0	0	0	0	0	0	0	0.592742
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003696.3.e00c0d9c-ba65-4ccf-bfd6-bf0790f0d972.fc.signal	0.24372	0.173542	0.238684	0.340408	0.474405	0.422619	0.240757	0.102718	0.478734	0.570289	0.23948	0.328806	0.282895	0.29121	0.401904	0.593299	0.67961	0.706798	0.723305	0.61757	0.559541	0.3707	0.34082	0.357633	0.30506	0.216827	0.768248	0.915797	0.854318	0.812609	0.501181	0.662562	0.593427	0.553232	0.62103	0.529687	0.435502	0.335267	0.467932	0.725571	0.66019	0.471816	0.150817	0.0343087	0	0	0	0	0	0	0	0	0	0	0	0.473684
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.337d4e8a-e984-41f8-aa57-60f7eb5f2a93.fc.signal	0.221504	0.226789	0.378315	0.307131	0.382165	0.48879	0.124276	0	0.0294899	0.400074	0.776615	0.485068	0.379242	0.163124	0.16873	0.28129	0.33757	0.33757	0.350225	0.279682	0.33757	0.33757	0.438808	0.753882	0.812013	0.117565	0.0247114	0.302555	0.364489	0.473454	0.584218	0.541704	0.315541	0.121302	0.263692	0.65133	1.16791	0.859522	0.354055	0.7582	0.567086	0.610987	0.555839	0.679628	0.167647	0	0	0	0	0	0	0	0	0	0	0.285714
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.6ec1eb56-dc70-4c75-a01e-fb5bc58e0bff.fc.signal	0.285205	0.378417	0.596913	0.601164	0.268919	0.451173	0.426156	0.560535	0.466537	0.369919	0.389042	0.463001	0.264894	0.12595	0.138628	0.287525	0.31511	0.414324	0.50894	0.362863	0.235151	0.0540345	0	0.0577207	0.231962	0.193999	0.355785	0.488367	0.389884	0.265944	0.196994	0.287018	0.418829	0.400606	0.39382	0.22533	0.0527624	0	0	0.0818431	0.307435	0.41154	0.188335	0.0283356	0.0893797	0.07871	0.129956	0.15755	0.102362	0.0411041	0	0	0	0	0	0.231343
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.e68f52c1-41a1-4e05-8c93-7ca09c5fb4fe.fc.signal	0.886764	0.609955	0.448815	0.155074	0.173852	0.284591	0.233283	0.370315	0.60016	0.424203	0.304838	0.26584	0.456422	0.444541	0.51293	0.51293	0.51293	0.405213	0.177215	0	0	0	0	0	0	0.17012	1.14212	1.43192	1.41055	1.26821	1.43107	1.66104	0.760846	0.346228	0.147465	0.353065	0.744599	0.642015	0.409578	0.258883	0.123276	0.0589858	0.212863	0.497542	0.257317	0	0	0	0	0	0	0	0	0	0	0.490566
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003695.3.08f241da-4ea3-4efd-8a07-63057f4f6ca8.fc.signal	0.050526	0.171454	0.183897	0.254857	0.382727	0.4663	0.255181	0.193981	0.147241	0	0	0	0	0	0.032481	0.10827	0.10827	0.145082	0.282849	0.310881	0.21654	0.21654	0.21654	0.19669	0.224297	0.354369	0.351169	0.21516	0.21654	0.173703	0.319113	0.483228	0.380208	0.160352	0.067155	0.0291039	0	0.0375336	0.124149	0.2916	0.313974	0.309644	0.111157	0.0079398	0	0	0	0	0	0	0	0	0	0	0	0.557823
