	chr9:92710961-92711110	chr9:92711111-92711260	chr9:92711261-92711410	chr9:92711411-92711560	chr9:92711561-92711710	chr9:92711711-92711860	chr9:92711861-92712010	chr9:92712011-92712160	chr9:92712161-92712310	chr9:92712311-92712460	chr9:92712461-92712610	chr9:92712611-92712760	chr9:92712761-92712910	chr9:92712911-92713060	chr9:92713061-92713210	chr9:92713211-92713360	chr9:92713361-92713510	chr9:92713511-92713660	chr9:92713661-92713810	chr9:92713811-92713960	chr9:92713961-92714110	chr9:92714111-92714260	chr9:92714261-92714410	chr9:92714411-92714560	chr9:92714561-92714710	chr9:92714711-92714860	chr9:92714861-92715010	chr9:92715011-92715160	chr9:92715161-92715310	chr9:92715311-92715460	chr9:92715461-92715610	chr9:92715611-92715760	chr9:92715761-92715910	chr9:92715911-92716060	chr9:92716061-92716210	chr9:92716211-92716280	chr9:92716281-92716360	chr9:92716361-92716510	chr9:92716511-92716660	chr9:92716661-92716810	chr9:92716811-92716960	chr9:92716961-92717110	chr9:92717111-92717260	chr9:92717261-92717410	chr9:92717411-92717560	chr9:92717561-92717710	chr9:92717711-92717753	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000043.3.8d5b3081-225e-438e-b618-c17adc495516.fc.signal	7.00873	6.61211	5.63048	7.44101	5.69279	4.04669	3.17533	4.49714	5.15367	3.1927	3.10596	3.81591	2.02121	6.40255	9.86336	7.93595	12.588	16.6751	11.2427	8.38581	15.1893	14.1319	11.0047	8.14079	8.88767	7.6412	8.06532	13.2725	10.5962	8.41952	11.545	10.7805	8.44044	4.3978	8.12956	9.52675	5.189	5.09292	2.29341	3.53622	3.82516	4.5038	5.63042	9.20555	14.0323	7.0175	5.41733	0.223757
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	3.48451	3.17018	2.31266	2.05856	1.05359	0.825184	1.80583	2.41276	2.58741	3.74233	1.97386	1.41728	1.02313	1.94065	2.33704	2.88032	3.60306	4.01016	4.65853	4.99147	4.00732	3.93265	5.53427	2.83287	3.20228	4.67389	4.20753	4.21571	4.95423	4.57182	6.09956	6.10998	3.48578	3.13678	1.83933	2.84934	2.75752	2.7449	1.43484	2.30504	3.32432	3.776	4.27797	4.34002	5.85634	5.6131	4.20387	0.172109
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.baf1b6b5-96f6-42d1-907a-07181459fd3c.fc.signal	3.18809	2.127	1.5146	2.35237	1.59249	0.840817	2.06717	1.90861	1.735	2.03387	2.51136	2.3415	2.28978	2.68917	3.00209	3.57126	3.99507	3.30248	3.61466	3.35171	2.84462	2.8251	2.16991	3.61189	4.80711	5.60672	4.35582	6.30001	7.43049	3.34401	4.77626	5.89764	3.38334	3.71432	4.24602	5.43626	4.07504	2.91786	2.2393	0.642116	1.17468	1.92303	2.50337	2.02913	2.56594	3.00943	3.07317	0.25347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000094.3.4d05172b-b267-4e63-b505-5ff5c21e9d11.fc.signal	3.39909	3.08207	3.8212	1.57998	1.03085	0.603384	0.901522	1.38835	2.32978	2.87682	2.11321	0.686983	3.06649	4.21104	4.52147	6.50056	5.94354	5.43544	8.50183	7.27274	6.63086	5.81648	6.73376	4.64098	3.97811	7.53698	12.4824	10.5923	11.6917	10.3885	8.06519	6.74694	6.07771	5.81464	9.80256	8.14	4.74068	5.30705	5.68576	3.23113	7.64243	7.46914	6.01706	7.62254	12.4781	13.2693	8.77247	0.458422
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.f2ae12dd-4c96-490e-afaa-ca77964f5b1c.fc.signal	4.09687	2.18395	3.68028	2.21692	0	0	2.89691	2.94194	7.4368	3.58794	4.20711	5.20089	3.34585	6.57584	3.85411	1.3959	4.02297	13.9025	15.8216	10.6768	8.7793	14.9985	15.1476	8.70743	16.8024	20.8042	23.0738	19.1282	18.8314	11.0206	16.7465	8.59496	3.13023	14.4439	34.1811	8.8783	2.57853	1.71021	0	0	6.39994	14.2235	7.44252	27.6802	15.275	32.0606	35.6714	0.339105
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	2.36581	2.21306	1.92494	2.55483	2.02359	0.06417	0	1.01562	2.28189	1.0273	0.373202	0	0.100576	1.8426	0.788415	0.249088	2.01255	2.54773	3.1286	1.49697	0.111985	0.81842	1.26091	1.69469	2.28249	0.733313	0.272358	0.459549	0.954116	1.27953	1.40594	2.71692	1.55083	0.786699	1.73778	1.67166	1.53877	0.581284	0.826208	1.19851	1.43343	0.96309	0.408498	1.46744	2.70808	3.33015	3.10359	0.574074
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.fae7194c-2bb7-414d-b747-986b067cce33.fc.signal	9.90986	5.39965	4.02831	5.78764	6.53692	6.82533	6.73757	4.99383	2.62671	1.61104	2.93142	1.53966	5.82063	5.85304	6.06377	7.32341	8.37408	3.89002	6.11737	10.1158	5.04838	10.3074	8.0461	10.5756	7.33892	11.057	7.66753	8.56603	12.2856	6.65918	7.70876	7.10878	8.19513	9.51231	6.70028	5.31155	3.6324	2.66287	3.37058	0.847219	1.35894	1.36259	2.71512	5.12359	7.78035	3.93944	4.1145	0.230263
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003829.4.85a47d94-3c5b-4fa0-8468-515ec8dc5b16.fc.signal	1.51609	1.48834	1.99767	1.58756	1.41794	1.91351	0.909776	0.362238	0.0714115	0.275507	1.62433	2.34643	1.17592	1.03803	1.92728	1.26339	0.866496	1.29451	0.804316	1.44183	2.07607	2.02505	2.36569	2.54661	2.40399	2.48929	2.20702	1.95905	1.38274	0.52692	0.824565	1.29662	1.23654	1.17078	0.840679	0.603061	0.912144	1.43589	0.652791	0.362032	0.800468	0.883613	0.733076	0.452354	0.964083	1.00613	1.92129	0.424608
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000105.3.fa7c889b-e561-4d9e-9f53-4d27307d9ee3.fc.signal	10.171	7.42122	3.59223	5.43195	3.21092	2.48822	2.33242	2.90761	5.17581	3.99503	4.27748	4.32102	5.09538	7.9348	11.0463	11.1468	10.6138	10.5998	10.8871	12.6262	10.3111	9.43829	12.1585	9.75348	8.14412	8.42955	10.2305	5.79	5.0519	8.39358	9.3461	10.5062	9.86273	11.8569	7.25265	5.83105	5.63717	5.50849	2.50106	2.22124	7.31464	10.414	7.47541	9.65861	10.6674	15.5617	17.955	0.238889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.72ced85f-cc3d-4155-864f-c88e943e41cd.fc.signal	3.59586	3.34579	2.41842	2.25935	1.69997	0.938055	1.14769	0.835613	1.21785	2.56605	2.45911	2.21138	2.48893	3.34495	4.53418	4.74153	4.93122	7.06499	8.61237	8.31281	7.60891	8.22073	7.46348	6.44848	5.86429	5.82149	6.80456	6.04348	6.95884	8.16001	8.65249	6.62453	8.87313	7.03381	4.39052	4.31626	3.93321	3.80939	2.54908	2.5465	4.2431	3.9119	5.92956	6.92142	7.10896	7.70347	8.49316	0.508401
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000330.2.5131ad66-51e2-42ac-b48a-1af75df9605f.fc.signal	9.79789	5.98511	7.06406	4.47789	3.32011	1.68631	2.02246	4.31094	6.13339	4.37165	2.49949	2.31969	3.14566	3.0609	4.87418	9.85653	9.92338	7.65065	14.8245	17.6055	12.3786	7.91495	7.28677	8.21985	9.62035	15.3487	13.8157	18.6252	16.7339	19.6424	14.0153	11.4298	10.9747	12.0178	12.5755	7.18393	4.7652	4.1366	3.13357	3.8426	5.08975	6.95241	9.55296	10.7309	15.308	16.6252	10.9902	0.409012
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.58d4d6b8-e8d9-44c0-a8c7-fcdf9403bfe2.fc.signal	3.21149	2.84579	1.63561	0.312499	0.186697	0.0504856	0.285149	1.03858	1.34721	1.24711	0.293799	0.0947651	1.1939	2.04951	2.10214	1.74424	1.36834	1.49823	1.33688	1.96518	2.2593	2.39584	2.87139	3.02591	3.40566	4.10077	3.30383	2.61758	2.36749	1.98889	2.07872	2.5462	2.32161	1.75059	2.01873	1.60663	1.18004	0.677999	0.582773	0.293266	0.611346	1.11724	1.79017	1.91561	2.16736	2.80207	3.0906	0.151776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.0c600fad-76af-4396-b66d-45cc11ce045a.fc.signal	5.5148	5.73924	6.01266	2.32895	2.2186	2.27466	1.73896	2.82046	2.68508	2.63049	3.44023	4.61563	6.25395	9.22073	8.23055	7.40109	5.23364	9.79495	11.8977	7.92497	10.9033	12.5468	6.61151	6.31836	7.8141	15.5631	13.8435	13.154	17.4439	14.8091	9.14611	9.77471	11.6088	10.6836	12.1182	10.4012	8.52209	6.94207	5.17785	3.85912	3.15854	7.62839	5.73203	6.53692	10.0212	13.1233	10.8785	0.130667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.b264ae9e-8457-4fbc-9ae1-9ad1d872e973.fc.signal	3.40726	2.97629	1.39743	0.11186	0.0172584	0.00435547	0.728968	2.94108	3.36037	2.40176	0.846782	0.207129	1.27091	1.77389	2.31877	2.55444	2.51169	3.03632	2.76303	3.41757	3.34949	3.10828	3.21026	3.4008	3.1269	3.25259	2.56506	2.23717	2.13567	1.45987	1.72996	1.95021	2.1069	1.86692	1.52487	1.33702	1.18846	1.06208	0.974704	0.80513	1.08052	1.4465	1.30617	1.43267	1.56569	1.56868	1.4308	0.0962536
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.dfc63e95-4862-4384-a735-dc9483aed805.fc.signal	2.04257	1.60033	3.80119	4.06063	1.51713	0.735257	0.996743	2.1697	1.03082	1.00671	1.77571	2.25251	1.74936	2.26443	5.84441	7.07122	1.49885	3.40095	5.50513	4.63303	6.80909	5.17391	3.89594	2.8398	4.70197	7.17374	3.3036	5.0377	6.65265	5.56066	2.70862	3.09905	2.30184	2.54083	5.76509	3.79051	4.13514	2.51148	0.951766	0.437568	0.555269	0.594582	2.93934	6.42048	4.12066	4.84736	7.21062	0.297218
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	5.64809	5.85421	3.12822	3.17108	1.7024	0.304884	2.3425	5.92468	4.99144	5.1553	1.60316	0.180414	2.28781	5.19379	3.43331	3.25084	5.51236	4.08988	5.3247	6.21948	4.45611	4.39585	3.07512	3.25564	4.69521	5.60573	7.05198	8.8638	7.04609	5.40035	5.87679	3.38397	5.56552	5.8148	3.92311	3.36448	1.92777	2.45288	3.42655	2.06688	3.02581	4.24608	2.94057	3.03004	4.83826	4.97949	6.125	0.519685
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0.866761	3.66678	2.42375	0.850552	1.72468	1.70287	2.65771	0.742242	3.32468	4.15162	4.80862	3.11119	1.69014	5.51017	2.73849	1.44238	2.50627	3.24639	3.97429	4.9574	2.01879	1.51496	3.09274	5.6623	3.42974	3.66047	7.38664	6.79548	5.07618	2.69641	6.18833	5.10313	7.29481	8.52595	4.10454	3.6174	1.91882	2.97124	1.65438	0	1.09473	3.38856	5.34571	1.59243	0.25581	4.84649	8.80289	0.986792
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	5.05553	4.34264	4.27756	3.68449	1.65046	1.56578	3.14837	4.98236	4.57041	4.09248	2.75848	2.08673	2.08286	2.49499	2.259	4.29855	3.26187	3.12453	4.26737	6.19769	3.36332	4.29899	6.32021	4.90094	3.10636	4.27579	5.31473	7.23661	7.36039	5.58164	6.58682	4.4836	5.13506	5.2705	4.07166	3.21358	2.9032	3.48879	3.84149	3.86655	3.6528	3.31457	5.31988	4.27039	3.83537	3.00714	2.37931	0.469173
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001457.1.6d90e020-b6c2-4e95-920f-783e8068ccbc.fc.signal	11.1488	7.93865	6.94162	2.54253	3.54493	1.70728	0.733502	3.47702	3.2005	5.43011	4.73598	5.04927	3.1129	9.23357	9.62904	12.8664	13.1081	13.3884	10.6659	13.6088	8.49999	8.82606	10.8311	12.8082	13.4178	10.1766	22.7285	26.5707	28.3176	21.8462	17.5853	8.34926	11.7323	13.8621	14.5451	14.4191	6.92694	2.94518	1.23466	2.61048	5.54882	7.54862	6.41959	4.73746	12.1171	15.2094	17.4656	0.313862
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.44d9234d-e938-4209-8bc5-a1f9ee0dcbe4.fc.signal	2.10288	1.00271	0.394987	0.655203	1.62046	0.915682	0.908595	0.934171	0.87675	0.48158	0.893154	0.350583	0.390078	0.748219	0.600534	1.52021	1.25668	0.921918	0.966057	1.90962	1.30263	1.06286	1.37536	0.83463	2.77272	3.7551	2.69479	2.29852	2.61211	3.72385	2.67777	2.55405	1.71145	1.69351	3.03985	2.45936	1.47106	1.22491	1.05007	0.165722	0.748895	2.11901	2.07634	1.16033	1.67074	1.68205	1.02956	0.0669951
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000808.1.5ce8eb53-7a16-437f-b9a4-a14e0471dbdc.fc.signal	1.14175	1.44736	1.35866	1.61912	1.15208	1.21304	1.66144	1.41671	0.715716	1.71843	1.07901	1.61729	0.609694	0.577522	2.47757	3.37598	3.22433	2.68856	1.71157	2.11015	1.78874	2.79504	2.36415	1.59314	2.06637	3.03935	1.85275	1.98384	1.53839	1.43002	2.76283	2.68556	2.7181	1.81574	1.15448	2.38391	1.62516	2.15712	1.38205	0.715145	1.15164	2.41833	2.20241	1.68836	3.54249	1.8903	2.42597	0.595679
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000101.3.06d0440d-166a-4bfb-8784-29eb25ba34d7.fc.signal	10.1073	5.51876	6.00665	7.39024	9.57644	5.13569	2.07706	4.05309	2.17189	1.38907	4.04587	2.83734	5.42559	5.12644	2.75026	6.65384	8.32807	7.90922	7.93643	13.7411	8.70044	9.59523	10.3177	8.08199	8.29301	19.5164	24.7723	19.1714	15.7414	9.84122	8.21927	11.0694	15.488	11.3378	7.71782	3.82884	1.35279	2.02104	5.05939	2.93591	1.03847	3.54722	3.10333	5.39558	4.61099	7.23001	13.0134	0.390991
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000159.3.c9b496dd-d6af-4185-b38a-63e548d52af5.fc.signal	9.54259	11.3148	3.43901	3.00535	4.1849	1.62317	4.87868	1.25708	3.78483	5.37405	2.22648	1.55421	4.6799	13.4914	11.0515	13.8272	10.7947	17.3964	23.5504	19.6918	13.0704	10.792	9.30381	20.6842	24.2834	12.1359	13.2598	26.6137	29.7515	20.7015	14.9021	12.5627	12.0783	12.4936	17.3733	12.768	6.25188	3.58884	4.50531	1.43419	9.24619	16.0409	11.9167	18.9099	21.9877	25.0278	15.3092	0.391228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000738.3.ee79ddae-147f-498b-b43d-cce1548cb6a9.fc.signal	1.99238	1.59532	0.85792	0.534486	0.264475	0.546564	0.762878	0.577136	0.0477075	0.687473	0.39258	0.839932	2.22984	2.83991	2.10046	3.49305	3.68758	2.04694	1.95684	2.60047	3.36288	3.01958	3.66184	3.0868	1.8681	3.13687	2.19139	2.89193	1.56342	0.42718	1.35889	3.42724	3.21389	1.89671	1.97656	1.33247	1.7272	1.32171	1.5865	1.43035	1.49938	1.0052	2.99864	1.34862	1.69077	2.2038	2.68984	0.643258
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.142e6ed2-5832-4fa6-8a6b-9ed4d6f47d60.fc.signal	0.835436	0.308149	1.24149	0.659054	0.398991	0.320903	0.446587	0.719086	0.154098	0.103059	0.835113	0	0.424713	2.36355	0.97676	0.385863	0.352316	0.113363	0	0.507446	0	0.376345	0.651668	0.633996	0.963566	1.36859	0.496116	0.627065	0.379225	0.984821	0.575982	0.418265	0.925371	1.13988	0.645363	0.60541	0.345027	0.229806	0.47135	0.36916	0.645458	0.230523	0.200773	0.723354	0.628608	0.641141	0.632696	0.537313
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003848.5.4e81bcc2-9ec4-4d08-b943-7db60ab59078.fc.signal	5.29258	3.1987	2.66961	3.87795	2.36443	1.18433	2.21298	2.4175	3.04668	5.40677	4.09254	1.61704	2.68641	4.48807	4.26537	4.63362	6.2419	4.27706	2.7962	3.0004	3.05881	3.66178	3.4089	4.47205	4.39633	2.77591	2.23859	2.01777	2.4476	2.25333	2.63827	2.15087	1.61941	1.58149	1.50536	1.57715	2.15854	3.33936	2.77282	0.88033	1.56758	3.52412	3.75896	1.42355	2.21839	1.66493	3.22666	0.377281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001508.1.7644257d-84a8-452c-b39d-72874c3d0d4b.fc.signal	3.28979	2.31052	2.46244	4.28285	4.21919	2.51779	1.72762	2.62335	1.18261	1.53861	2.91873	3.32411	2.20309	4.04857	2.52296	2.86634	3.88684	3.77652	2.3563	2.76739	2.72482	3.02614	4.38117	5.23238	5.02232	5.43167	6.72125	4.24735	5.30832	4.12356	4.26702	3.69496	4.12193	2.96432	3.33042	3.73838	2.98076	5.17297	8.20292	6.74867	6.79763	5.96731	4.39551	5.42486	7.01106	6.11848	6.05338	0.535881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.bcd61aac-63db-4cfa-a058-a141a50b928e.fc.signal	0.334757	0.985736	2.05289	2.67199	2.25336	2.18174	1.52732	1.16974	1.76462	1.43262	3.28615	4.22187	3.3491	3.18348	2.10018	2.33205	1.56877	1.30079	1.54203	1.72985	2.05923	3.05507	2.33228	2.7224	2.82511	2.13903	1.36857	1.42483	1.3111	1.13864	1.80394	2.86792	2.14393	2.78475	1.91155	1.13479	0.993482	1.8116	1.02858	0.939655	0.961129	0.505492	0.654051	0.676175	0.517975	1.52887	1.20739	0.458166
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001020.4.42363c6f-0a08-4184-ab8c-bacc5ac39aad.fc.signal	3.09407	2.30232	2.22297	1.78134	1.04233	0.64797	0.773638	1.63457	1.51096	2.34149	1.19717	0.486368	1.74231	3.33378	2.63426	2.60828	3.92025	5.14889	5.27761	4.92399	3.65601	2.7775	1.67375	1.58517	4.11857	4.11744	3.69491	4.9819	4.34755	4.05771	3.47134	2.61355	2.53277	1.49235	2.15849	1.92221	0.786323	0.794522	0.725031	0.486901	1.0619	1.74653	2.11269	1.84193	2.9116	4.70998	3.83173	0.626374
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001378.1.8a1df20e-6fe2-48ae-99b1-96a1bc85ea8d.fc.signal	11.7817	11.6669	6.03608	5.43733	2.44225	1.4408	1.06258	1.38086	1.5092	2.99694	2.47119	2.19249	3.80559	6.65089	7.60627	5.60706	9.65911	15.8764	19.5063	15.1161	10.8946	11.0132	12.5543	19.3162	21.4451	13.4792	22.9664	25.0293	26.5519	23.4829	20.9557	13.6655	13.7959	18.6085	17.8355	10.569	6.79193	5.08435	5.02902	3.68201	4.31683	6.98595	8.56597	9.46591	14.2126	16.7975	23.4749	0.38945
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000155.3.f96e1b9b-e27a-457e-8b0f-804f1e61ec6e.fc.signal	9.52288	8.62764	4.68142	1.84339	2.50473	2.36881	2.01945	2.25687	2.9904	0.989963	3.81928	1.1936	2.27976	5.65793	11.3401	15.1338	12.5351	10.7693	10.6633	6.19277	6.89451	9.56906	9.79504	12.5009	5.55297	10.389	17.936	16.4941	17.6938	14.5262	11.8713	15.1921	14.634	13.21	12.2443	5.34638	2.41197	3.83084	2.75086	1.58177	3.5	8.72444	8.0783	7.80851	7.51276	12.1408	6.79077	0.764706
