	chr10:117543132-117543281	chr10:117543282-117543431	chr10:117543432-117543581	chr10:117543582-117543731	chr10:117543732-117543881	chr10:117543882-117544031	chr10:117544032-117544181	chr10:117544182-117544331	chr10:117544332-117544481	chr10:117544482-117544631	chr10:117544632-117544781	chr10:117544782-117544931	chr10:117544932-117545081	chr10:117545082-117545231	chr10:117545232-117545381	chr10:117545382-117545531	chr10:117545532-117545681	chr10:117545682-117545831	chr10:117545832-117545981	chr10:117545982-117546131	chr10:117546132-117546281	chr10:117546282-117546431	chr10:117546432-117546581	chr10:117546582-117546731	chr10:117546732-117546881	chr10:117546882-117547031	chr10:117547032-117547181	chr10:117547182-117547331	chr10:117547332-117547481	chr10:117547482-117547631	chr10:117547632-117547781	chr10:117547782-117547931	chr10:117547932-117548081	chr10:117548082-117548231	chr10:117548232-117548316	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	1.26544	2.45785	1.50214	2.08667	4.8192	6.23707	7.74725	4.95115	1.95223	1.97895	2.69326	4.88749	4.24761	4.49559	2.52793	0.663442	3.31995	5.36277	5.33064	7.29432	7.5711	5.17869	5.32771	3.1943	2.3792	5.56339	4.83296	4.54558	4.22768	4.98769	3.01836	3.80756	2.34311	2.70414	4.0742	0.326146
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.73d0436f-3c8c-4e5c-a1fe-dc4d41b2902f.fc.signal	9.21795	13.5485	5.603	5.48968	4.92087	10.8593	10.1222	4.04382	3.49389	2.8838	1.96403	3.7074	7.40073	7.56195	6.57639	8.90285	2.94357	3.13797	3.14333	2.26417	2.41203	0.516424	0.541205	1.68439	1.11492	2.20555	1.42765	0.471883	1.68531	2.86683	0.48363	3.06654	1.88315	0.392459	0.698192	0.276451
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	1.49007	3.39612	1.72949	2.27604	4.04626	4.10088	2.42366	2.95721	2.36322	2.80075	1.99601	1.61711	1.66406	2.20182	2.61015	2.43173	2.45582	2.35547	2.31505	1.95494	1.97467	2.44625	2.13803	2.4122	3.4079	2.59828	3.06264	2.47508	1.78243	1.70962	1.19084	1.2564	1.20639	0.947352	1.4853	0.502874
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.852966	2.35171	0.642037	0.87702	2.60894	2.51269	3.34914	3.63776	1.90949	3.07895	2.20371	3.51377	3.38797	2.67925	1.38214	2.86241	3.32508	2.29834	3.16825	2.6273	2.92646	1.66709	1.03429	1.90761	1.62822	2.08156	2.1587	0.880392	0.687115	1.32148	1.36094	1.04713	0.479844	0.253444	0.344739	0.420495
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	6.80737	11.789	2.38953	4.60098	9.67431	9.96788	5.63577	3.43877	2.41701	2.07126	0.781587	3.4842	4.34496	4.50854	5.18796	6.50363	3.24571	3.60432	2.72591	4.82453	5.79499	7.61391	4.84357	5.75926	5.86307	4.12021	3.132	2.99307	2.50436	1.64195	1.22374	2.36351	4.37387	4.52801	3.78623	0.33557
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	2.35729	4.24489	3.62469	4.75186	5.94563	5.26596	7.86406	6.14092	4.12766	5.16414	4.33614	5.52811	3.68071	2.0832	2.43203	2.25622	2.13319	3.11557	2.19319	1.97399	2.92144	3.39049	1.12359	0.904393	0.767368	1.87246	1.50684	1.50592	1.03028	0.866902	1.33525	1.15303	1.03271	1.87464	1.7799	0.692067
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	0.175641	0	0.731177	2.54893	0.441122	0.635093	2.12042	4.24672	2.40647	3.37592	3.40293	3.3198	1.07463	1.16777	0.549197	0	1.22544	3.02994	1.35503	4.53623	5.45315	4.87723	2.74089	0.424807	2.39584	4.45773	3.26371	1.92803	2.55456	3.39373	5.07736	2.20171	3.02938	2.62242	1.56488	0.319149
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001956.2.6c45d08b-377b-419c-a177-44262ce42f4b.fc.signal	10.7089	9.4278	6.28977	10.8504	16.4729	12.4373	5.30885	1.68807	1.52682	1.8861	3.5738	4.71399	6.95026	7.01222	8.22667	10.6462	8.02691	4.52962	6.27856	4.19042	6.492	5.88951	5.93958	4.71609	4.52817	6.73292	6.75508	6.69321	6.26828	4.82022	1.58486	4.60946	4.56963	2.22783	2.45095	0.224265
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.8cd5cefc-1c86-42bb-a689-d60dd071a471.fc.signal	3.03591	5.93328	3.64434	3.74922	3.98121	4.68914	5.01644	6.72424	3.69469	3.25409	3.09464	2.83867	3.68209	5.2682	2.89356	3.51411	0.486629	2.11882	2.88511	2.48967	2.03027	1.7716	2.04393	2.05648	2.50183	3.23213	4.25088	6.85352	2.40174	1.29489	0.862708	1.90408	2.39424	1.53638	0.19828	0.537433
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.058af969-8786-43c5-84e7-d3c325107d07.fc.signal	4.71374	3.80246	2.44208	3.10795	4.33584	7.55555	8.20098	4.16005	5.36108	5.82221	6.45625	9.94923	13.1378	10.7897	6.90885	7.24214	2.96395	2.13142	3.63263	2.72117	1.9805	2.15086	3.37538	6.84404	5.05502	4.27445	4.72301	4.23717	1.96185	2.96232	1.65653	0.945614	1.80111	2.49898	1.83045	0.167532
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	2.63143	7.5948	2.61406	5.80555	6.49277	4.6191	4.70841	7.47835	2.86467	3.26389	6.35523	5.02564	5.5216	3.58492	2.61731	2.48445	3.07726	4.19175	4.29277	2.77499	4.49224	5.17733	2.91966	3.36999	2.40705	2.78577	2.7632	4.21593	3.15095	2.37699	1.28903	2.41746	1.64443	1.61678	2.59929	0.45
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	4.21101	7.86746	4.79498	9.05963	7.78884	4.44846	7.1543	5.95883	3.10552	3.38859	2.97051	2.84456	3.463	3.75726	2.81618	5.75875	3.50195	1.58879	2.07319	3.68982	4.49894	4.0288	3.59537	2.24162	2.13902	2.68228	2.34484	5.24261	2.58718	2.25688	1.56342	2.61639	1.93282	2.10957	3.21966	0.352542
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.9795bbe6-24d0-4d23-b44e-724aab1b2c12.fc.signal	17.4264	22.7936	15.5014	23.3063	35.0622	29.8504	26.8729	22.0369	19.94	22.5561	22.8604	26.7728	20.1403	23.7151	22.934	21.1353	20.2964	21.7925	22.342	23.7102	24.3131	21.7637	18.0692	20.0909	18.1474	22.0488	16.6321	14.9088	11.4698	8.86904	7.34966	6.90136	8.75011	7.21763	6.2013	0.752577
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.6a6e5234-23fa-41fc-9f41-6ee555b180c8.fc.signal	0.0515387	0	0	0	1.1198	0.098392	0	0	10.2042	12.2746	14.0007	11.1447	1.08233	2.58175	1.07298	0	0.276436	0.941759	0	2.28455	1.95524	2.19386	5.10143	0.637227	2.59584	6.97713	6.25991	3.51416	4.91757	0.484533	0.698498	0.355715	6.43012	2.93019	2.29049	0.216772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.cd19865b-26c6-4f71-a2cb-2c7271712e2b.fc.signal	3.66449	4.76346	3.97851	3.05402	4.39605	3.61388	3.36306	2.6886	0.39433	1.42468	1.0555	1.84723	1.1975	1.71745	1.56663	2.0568	1.13575	1.48629	1.44343	1.24761	0.450676	0.834316	0.394385	1.06488	1.4812	0.6443	1.27222	1.70886	1.21022	2.01323	1.59912	2.00267	1.51125	2.83946	0.795702	0.309278
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004604.3.044a44f4-7a76-4042-adca-64782b5c2f81.fc.signal	1.4193	3.99331	2.07673	2.3397	3.935	6.75285	4.03807	3.27913	2.17354	0.778683	1.32697	2.31995	2.45766	1.78327	1.07383	0.591014	1.8264	1.04851	2.63193	1.32735	1.8775	1.03629	0.117406	0.193008	0.676206	1.69652	0.899321	0.372711	2.41617	2.70397	1.39571	1.88597	0.910209	0.116078	1.4407	0.380531
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004728.1.8beb4625-34f3-4c76-87f5-2108669b4ebf.fc.signal	2.89327	6.92261	4.37987	3.6957	7.44355	7.75574	8.57576	6.00561	3.3155	1.92927	2.26569	2.11767	3.38375	1.39459	2.08011	2.1097	1.95563	2.45576	1.79922	2.34834	1.30583	0.707238	1.07438	1.37637	0.504319	1.3834	0.999047	1.74804	0.553316	0.666717	0.130886	0.0835587	0.48725	0.011774	0	0.566832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	5.84099	7.87756	4.7329	5.16512	7.01807	5.74698	5.96374	2.89176	3.8977	2.98742	2.72752	2.71645	1.86066	2.29104	8.11292	5.61302	4.04327	3.98145	1.53373	2.52629	4.05176	6.08267	1.67007	3.90045	5.05091	5.42614	4.47383	7.80316	4.64961	4.47422	2.36585	0.798004	1.6675	0.312505	1.45193	0.352941
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000053.3.19ff4aa6-fb54-46a9-9e6d-d838602855e5.fc.signal	8.3785	14.5466	8.40125	9.07839	11.8057	7.83354	6.80369	5.35775	5.55811	2.53769	2.65703	3.83835	8.70859	6.6511	7.42612	9.0873	5.53929	4.6704	4.46021	2.60504	2.49874	4.60523	5.08503	10.7926	11.0074	9.49807	5.01048	5.39795	5.27542	4.12346	3.70026	2.33901	4.45679	6.34855	5.24277	0.215534
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003715.2.e8a2a442-a331-474b-9c0f-ad5c0953942a.fc.signal	1.10602	2.17535	1.51932	2.78761	3.31478	4.72738	3.20942	3.87244	2.81553	2.11811	1.73079	2.32378	2.71053	2.21875	2.02631	3.85138	4.10944	4.1161	3.25897	1.4442	2.32458	2.61033	3.32177	3.1741	2.62758	2.74262	2.14729	1.99306	1.28837	1.3331	0.689518	1.1097	1.13325	1.51768	1.44659	0.258772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001966.2.f603ad07-1fa1-4eda-9e31-ea07130b3846.fc.signal	60.9329	66.8058	50.0504	47.3378	85.1935	79.2184	56.6218	36.9106	26.3455	17.9493	13.5854	31.9764	40.2645	38.0997	51.0631	54.7058	34.9699	32.0199	30.0467	30.5457	25.4404	35.1031	28.5555	29.0475	34.8596	39.3487	35.3288	31.7259	25.1312	21.1066	12.2646	20.4425	17.9511	12.8052	13.4526	0.264814
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004618.1.40df65f6-ad48-44fa-bfba-39b465419c5e.fc.signal	3.48026	4.55395	3.36117	1.24987	2.5021	4.05013	2.81991	3.40934	1.87693	2.38753	2.93429	1.59815	1.36985	1.00823	1.10061	2.03732	3.9303	2.89327	1.18375	0.985667	0.804664	1.39161	0.878023	1.75359	0.74349	0.296184	0.974606	2.12023	1.19065	1.91301	0.304094	1.88909	2.50214	0.324923	0.167938	0.528634
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0.62281	1.17719	0.869372	0.66013	1.01255	0.625385	0.394604	0.517199	0.418519	0.390152	1.10886	0.689609	0.200215	0.305809	0.24522	0.163104	0.266234	0.412554	0.192129	0.102535	0.243233	0.156295	0.193641	0.224063	0.254597	0.41712	0.346951	0.324427	0.202791	0.315549	0.303183	0.323786	0.152164	0.00276567	0	0.844221
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	0.850928	1.61072	1.64341	1.97753	1.27483	0.610618	0.854072	0.970104	0.328925	0.245953	0.121313	0.676173	0.950674	0.655225	0.993488	1.19005	0.656463	0.163931	0.466817	0.827636	0.652768	0.334308	0.238065	0.357543	0.256205	0.265311	0.137173	0.246433	0.708876	1.08769	1.12808	1.07867	0.571721	0.246238	0.553338	0.262136
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	1.92949	4.81096	2.11523	3.62426	4.8417	4.51431	5.65397	3.20634	4.6996	3.63434	3.3268	3.67747	4.65656	5.47413	2.17231	1.70094	3.22487	5.26371	6.93539	3.07236	3.99331	3.81206	4.97979	7.09919	3.04741	3.74335	4.86809	3.10628	2.2105	2.04393	2.64104	2.74573	1.79611	2.39298	1.33158	0.321127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.a16168d3-492b-4fa9-9ed9-f6132409aea8.fc.signal	0.628572	0.913929	2.67894	4.09173	1.98485	3.06752	5.01741	3.83833	1.30463	4.67472	3.25781	3.67486	3.15458	3.32234	2.79518	5.21735	6.40634	8.05148	2.30724	1.24911	4.7205	3.68616	2.50227	3.24822	1.25719	1.08388	3.51157	4.32164	4.13066	2.81965	0.395466	0.504328	0.503077	0.253532	0.725993	0.190476
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	0.707194	3.62645	3.03628	1.15841	2.57045	3.96789	2.30949	2.61643	3.31985	1.97882	1.7848	5.86358	6.11649	1.68274	1.97297	2.48348	3.92885	3.09969	3.1948	3.02281	4.38979	2.9948	2.34663	0.469426	0.653006	2.14569	3.32045	4.37517	1.6535	1.10822	0.644153	0.788102	0.971857	1.9042	0.869614	0.534483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	2.71936	5.02209	3.21045	2.78919	2.44588	4.37878	4.82505	2.9818	1.32099	1.44304	1.01256	1.93894	2.37358	1.03791	1.55473	3.22464	3.05094	1.90004	1.47476	1.26565	0.561517	1.16167	1.1644	1.12148	0.852811	0.919472	1.16449	1.01634	0.509496	0.812102	1.36101	1.5098	0.927894	0.892702	1.03442	0.815174
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	5.08878	11.6906	5.12542	8.789	12.2878	16.1126	11.2471	5.57743	8.75972	5.3884	8.03431	8.07828	9.55048	7.07387	5.26096	4.86897	5.82151	4.48523	7.49485	9.74887	5.00084	5.61266	6.10647	7.62624	7.79983	5.63757	5.59719	7.17339	4.26445	4.4183	2.22747	3.94571	3.33756	2.89086	5.02592	0.214689
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.d770a09a-2cad-4524-8aaf-69b927e47c59.fc.signal	0.538417	1.2784	0.760757	1.32938	1.27969	0.861824	0.989322	1.12685	0.789083	0.429077	0.706273	0.908914	0.449469	0.509588	0.200723	0.368374	0.733743	0.714531	1.62867	0.625346	0.84858	0.719725	0.468789	0.353558	0.479233	0.824193	0.712734	0.451448	0.558765	0.379803	0.567653	0.719052	0.653179	0.894407	0.562897	0.618529
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	5.59399	12.2042	5.58717	7.54585	11.3142	15.1232	10.104	12.997	7.65508	3.45705	7.43122	7.21933	3.20701	8.37353	7.21637	8.38074	7.69718	5.85164	3.94527	3.10904	3.7587	3.58341	6.24157	7.92492	5.1124	4.92656	4.4832	3.42966	1.78589	3.58725	4.09634	2.5607	3.6098	2.54654	2.01659	0.36272
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004608.1.6d8749d8-24c7-4e6d-8992-3543e47f35de.fc.signal	2.0254	4.6117	4.17281	8.37848	11.1408	12.786	8.30423	5.30612	2.05412	1.98316	2.41499	5.14447	5.90725	3.6682	4.86913	6.30026	3.73912	4.19651	3.32677	2.63545	2.76541	2.99877	2.13027	2.52997	3.05504	2.94884	1.227	2.4095	1.42698	1.57717	1.78369	1.09841	1.19402	0.77503	1.8141	0.446043
