	chr9:133664266-133664415	chr9:133664416-133664565	chr9:133664566-133664715	chr9:133664716-133664865	chr9:133664866-133665015	chr9:133665016-133665165	chr9:133665166-133665315	chr9:133665316-133665465	chr9:133665466-133665615	chr9:133665616-133665765	chr9:133665766-133665915	chr9:133665916-133666065	chr9:133666066-133666215	chr9:133666216-133666365	chr9:133666366-133666515	chr9:133666516-133666665	chr9:133666666-133666815	chr9:133666816-133666965	chr9:133666966-133667115	chr9:133667116-133667195	chr9:133667196-133667265	chr9:133667266-133667415	chr9:133667416-133667565	chr9:133667566-133667715	chr9:133667716-133667865	chr9:133667866-133668015	chr9:133668016-133668165	chr9:133668166-133668255	chr9:133668256-133668315	chr9:133668316-133668395	chr9:133668396-133668465	chr9:133668466-133668525	chr9:133668526-133668565	chr9:133668566-133668615	chr9:133668616-133668765	chr9:133668766-133668805	chr9:133668806-133668845	chr9:133668846-133668915	chr9:133668916-133669065	chr9:133669066-133669215	chr9:133669216-133669268	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000084.3.d70df12a-56c6-409a-9efd-6ac48fef39f8.fc.signal	1.1412	0.0932672	0.645738	0.601709	1.03566	0.481694	0.963156	1.05108	0.506906	0.428804	1.03743	0.159073	1.03743	0.380391	0.0622458	1.05818	1.45932	0.463385	0	0.933687	1.03743	0.760782	1.03743	2.01073	4.37115	3.68641	6.2178	4.71466	1.22763	0	0	0	0	0	0	0	0	0	0	0	0	0.686047
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.047c2416-3a22-4cd4-965c-493225f5ed12.fc.signal	0.7111	1.47272	0.836708	0.490228	0.746317	1.26589	0.99114	0.640316	0.65596	0.941544	0.759694	0	0.0379417	0.313971	0.637897	0.90512	1.08911	1.58735	0.777506	0.137653	0.0112951	0	0.0172079	0.679486	2.42593	2.01826	0.822568	0.968707	0.872958	0.566853	0.184101	0	0	0	0	0	0	0	0	0.0401736	0.16739	0.361582
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.87afad01-d436-4b9f-ad87-b00cd4a79273.fc.signal	0	0.110524	0.169168	0	0.0627055	0.345799	0.508675	0.566517	1.10595	0.972492	0.264712	0.100679	0	0	0	0.045962	0.492276	0.340221	0.672749	0.617415	0.443015	0.467102	0.82922	0.604941	0.766801	0.254875	0.500365	0.102093	0.120377	0.295318	0.225049	0.0437733	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0.701552	0.677483	0.230953	0.41597	0.569155	0.417768	0.370493	0.413617	0.971465	1.67237	1.15701	0.408604	0.136998	0.437288	0.33811	0.170674	0.556099	1.00959	0.806555	0.624952	0.641568	0.582333	0.369529	0.386202	0.245311	0.558964	0.918297	0.583572	0.252182	0	0	0	0	0	0	0	0	0	0	0	0	0.853333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.85b1d8ad-328c-45c6-9e3b-50e5e5e241e1.fc.signal	1.11858	0.987354	0.969104	0.547129	0.513662	0.782388	0.719987	0.723557	0.572328	0.352913	0.796606	0.619083	0.411427	0.589584	0.220721	0.951305	0.460086	0.631549	1.10753	0.3388	0.198742	0.304184	0.32265	0.17274	0.716393	1.09903	0.369128	0.145569	0.102698	0.43652	0.554214	0.646851	0.440746	0.0377742	0	0.0552112	0.10565	0.187744	0.3126	0.254608	0.352141	0.721116
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000121.3.4a5cfc14-4daf-4d77-9a82-2b790575203a.fc.signal	1.16519	1.24122	0.311941	3.25493	2.18211	0.805919	0.937823	1.785	0.320947	0.118176	1.34122	0.733208	1.07708	1.56572	1.23683	0.566573	2.03267	1.5	0.0981331	0	0	0	0	0.629725	0.258342	0.384041	1.93203	1.03402	0.88632	0.144027	0	0	0	0	0	0	0	0	0	0	0	0.644737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.d168a519-3b00-493d-a4f1-d91c8f1d604c.fc.signal	1.11814	0.203644	0.441911	1.28138	1.02916	0.611122	0.99277	0.682938	0.901939	0.760907	0.356342	0.312257	0.747448	1.63376	1.61362	0.523683	0.212597	0.478899	1.06757	1.01136	0.450773	0.154413	0.720645	0.805674	0.496424	0.0639007	0.740261	1.30181	0.856045	0.532886	0.148658	0	0	0	0	0	0	0	0	0	0	0.480122
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.8c536fb3-0ded-452e-bfa9-602b72d66c00.fc.signal	0.927805	0.639935	1.39264	0.731311	1.11767	1.08716	0.566922	0.815359	0.829222	1.36058	0.669179	0.396501	0.87715	0.207047	0.628864	0.624171	0.456995	0.285498	0.265958	0.163998	0.448283	0.170732	0.306819	0.980918	0.723415	1.231	0.884521	0.62035	0.836546	0.876262	0.0886193	0	0	0	0	0	0	0	0	0	0.415736	0.583333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.9c3ec4b2-7073-4306-8028-2374ba66f5d2.fc.signal	2.31711	1.48064	0.405267	0	0.805259	1.47548	1.09104	0.394876	0.971578	1.68224	0.633472	0	0	0.649467	0.259787	0	0	0	0.372613	0.77936	0.167006	0.00519573	0.77936	0.608866	1.45517	0.0519573	1.45467	0.519547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663934
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.87d6d4cc-d709-448c-855d-51ab38c2c5f0.fc.signal	0.984272	1.51847	2.61283	1.41369	1.36789	0.722759	0.689879	1.13824	0.825404	0.208977	0.447136	0.136266	0.129493	0.4856	0.0161867	0	0	0	0.592481	0.880264	0.430103	0	0	0	0.423262	1.64876	1.70305	0.744655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620758
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.e0246cbf-2d49-4bee-a25f-b1967eaad820.fc.signal	0.162593	0.168686	0.112537	0.101158	0.192549	0.439529	0.0513339	0.139744	0.225638	0.139279	0	0.0783075	0.107832	0	0	0.111037	0.0750948	0	0	0	0	0	0	0.220151	0.152117	0	0.130074	0.088787	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26971
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.223aa04f-e316-48e4-abf6-e6d88a4e9390.fc.signal	0.3722	0.357691	0	0.699016	0.429824	0.1425	0.0161266	0.364548	0.246083	0.145968	0.218734	0	0	0.0390507	0.32094	0.00610167	0	0.218435	0.452757	0.114403	0	0.194029	0.341685	0.196468	0	0.274693	0.0878619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001878.2.2adb5a51-51a2-4ead-ae64-2462116858bf.fc.signal	1.7242	1.34455	0.15235	0	0.248909	0.412075	0	0	0	0	0.0692108	0.438434	0	0.235253	0.514207	0	0	0.0367472	0.537404	0.196139	0	0	0	0.273927	0.436539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426956
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.05f731d1-35d3-4327-ad52-34ab22707910.fc.signal	0.581551	0.0551235	0.478706	0.0867644	0.232324	0.606	0.428085	0.692996	0.367759	0.572254	0.0314923	0	0	0.184659	0.324949	0.286297	0.0658475	0.37362	0.0529643	0	0.150322	0.784609	0.0042944	0	0.0520711	0.319222	0.294887	0.319701	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003829.4.503bd71c-74cb-4096-8a07-526831cc1c01.fc.signal	0.0435993	0.222227	0.110012	0.153526	0.371113	0.134237	0.0514492	0.537243	0.35063	0.0189512	0.196102	0.340474	0	0	0	0.189209	0.146259	0.309173	0.567659	0.225472	0.212842	0.219252	0	0.231811	0.243107	0.0499246	0.311135	0.559195	0.252411	0	0	0	0	0	0	0	0	0	0	0	0	0.529148
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.285674ca-2d37-4ac8-859e-29db1bf824d3.fc.signal	0	0.850201	0.0285147	0.615917	0.916882	0.0752851	0	0	0.78758	1.02971	0	0	0	0.237487	0.91284	0.238224	0.553783	0	0	0	0	0	0	0.0964791	1.68779	0.423862	0.412027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511663
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.f83f1262-12e2-4b8d-b11c-8637f8303ed6.fc.signal	1.3128	0	0.250656	2.01872	1.23832	1.32542	2.30276	3.80662	1.99692	1.90067	1.1801	0.172326	0.39165	0.59712	0.653169	1.74446	0.617069	0.911311	0.909365	0	0	0	0	0	0.318542	0.736302	2.73621	2.76752	0.7833	0.646222	0	0	0	0	0	0	0	0.72735	0.67886	0.480424	0.7833	0.658385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003694.3.c78458e5-ee0b-451a-90f1-dbb574d13e13.fc.signal	0.127466	0.240073	0.525358	0.365163	0.0885297	0.391528	0.572686	0.427262	0.144246	0	0.0873741	0.111042	0.0087586	0.0394845	0.231225	0.276912	0.157956	0.119946	0.0112425	0	0.0536689	0.104321	0.205257	0.123442	0.0599377	0.0199215	0.0835903	0.202227	0.17077	0.0973925	0.0863251	0.068744	0.069033	0.0693284	0.0158714	0.137983	0.141125	0.141923	0.0795152	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003804.1.20346d72-f6d0-41f6-979d-2e29fa33f68f.fc.signal	0.45902	0.594177	0.316386	0.650928	0.455068	0.208306	0.125275	0.25797	0.199672	0.4618	0.313266	0.200571	0.231097	0.339544	0.400526	0.298632	0.625756	0.211877	0.154544	0.322776	0.0876017	0.115525	0.0467211	0.45111	0.609518	0.373993	0.480592	0.61548	0.142615	0.00677925	0	0	0	0	0	0	0	0	0	0.00209545	0.0791809	0.493496
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001935.1.53d89d9f-5949-4fc0-a0f7-bbac9f0fea51.fc.signal	1.3149	1.17344	0.927528	1.01301	0.46366	0.753782	1.13209	1.5931	0.963784	1.356	0.895375	1.19858	1.41422	1.36764	0.719069	0.635256	0.779867	1.41318	1.84479	1.28002	0.311803	0.53734	1.12739	1.73885	0.415052	1.87794	1.78673	1.59032	0.707145	0.0451073	0	0	0	0	0	0	0	0.105896	0.288738	0.0492572	0.346027	0.807432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.6941f4c2-9444-41d7-82bb-38a8112f3f75.fc.signal	0.46562	0.63199	1.02667	1.20613	0.915729	0.876965	0.627336	0.596935	0.480081	0.175707	0.0237759	0	0.0677101	0.19172	0.202044	0.151959	0.0713276	0.107513	0.145765	0.118239	0.284608	0.4651	0.344167	0.50592	0.732756	0.584432	0.285227	0.0921764	0.0038765	0	0	0	0	0	0	0	0.0697782	0.15507	0.305905	0.150907	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.c56a1926-3d2b-458d-9800-4140f38e79d1.fc.signal	0.18116	0.391747	0.485202	0.30268	0.214924	0.386474	0.712649	0.790683	0.374047	0.213182	0.304428	0.211627	0.146473	0.397927	0.483066	0.32102	0.231453	0.305837	0.262009	0.003683	0.0543709	0.363431	0.497149	0.522202	0.381621	0.0311293	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356297	0.14845	0.908333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.51e98f97-6119-4df6-b770-df4f0c759ed4.fc.signal	0.902416	0.821361	0.658895	0.974957	0.779922	0.566855	0.736554	0.736554	1.03817	0.881691	0.754136	0.786193	0.692585	0.696337	0.537301	0.786173	1.03061	0.751131	0.412972	0.571496	0.529201	0.478869	0.356743	0.647862	0.566099	0.684616	1.03128	0.362412	0.301653	0.18847	0.0498109	0	0	0	0.0420939	0.09424	0.09424	0.0713531	0.0640951	0.313625	0.275713	0.633229
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.5c2b1045-c5b9-4ce2-a975-1bba53717c39.fc.signal	0.268788	0	0.589058	1.03063	1.14621	0.245512	0.53109	0.651889	1.4289	0.428775	1.0122	0.131382	0.0906871	0.856559	0.307696	0.865062	0.963927	0.546842	0.0525209	0.225917	0.238331	0.341391	0.220899	1.33003	1.10296	0.461882	0.129759	0.350145	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000321.2.958c3b4f-844d-4f79-97b0-c208d576e212.fc.signal	0.751562	0.998624	0.409093	0.220302	1.08666	0.797287	1.08399	1.05072	0.320268	0.828722	1.22652	1.45292	1.3807	1.07058	0.556532	1.02809	0.458817	0.507135	0.556883	0.853556	0.975194	0.449979	0.961426	0.208716	0.0467317	0.63725	0.0594767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682243
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003685.2.c2e20b49-142e-4797-9eba-5be0eab06323.fc.signal	0.01892	1.07056	0.695312	0.97596	0.552628	0.0819867	0.391013	0.01419	0.45881	0	0.381553	0.0914467	0	0	0	0	0.306344	0.390971	1.14782	0.0147812	0.554086	1.00276	0.149783	0.167127	0.644857	1.35909	0.433583	0.35475	0.0512417	0	0	0	0	0	0	0	0	0	0	0	0	0.891129
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.5d7cb2f3-47cf-4b96-8e52-3efecb6dacae.fc.signal	0	0.27232	0.0398251	0	0	0	0	0.228812	0.0486536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139846	0.125436	0.0008084	0.18386	0.0786862	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.b61c4709-ddec-4f74-8351-f61eb4c7615d.fc.signal	0.232331	0.124358	0	0.0241519	0.179685	0.0475333	0.00717213	0.0771125	0.265274	0.19441	0.570389	0.113878	0	0.0345023	0.191699	0.214642	0.218413	0.655554	0.127886	0.009561	0	0.207125	0.405143	0.235615	0.218976	0.500281	0.241555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.767918
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003809.1.1724086a-5e6f-40e4-8774-8e9b5ce9aa91.fc.signal	0	0	0	0	0	0	0.102973	0.185877	0.019377	0	0	0	0	0	0.202342	0.678572	0.0588396	0	0	0	0	0	0	0	0	0.228981	0.274005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667634
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001900.1.6f34fcaf-f939-42d9-9208-522a5ad9c032.fc.signal	0.25385	0.356605	0.239541	0.186561	0.138686	0.135708	0.326363	0.261293	0.102678	0.0716773	0.272138	0.377753	0.124352	0.126282	0.26487	0.0943986	0.307585	0.208827	0.616738	0.219473	0.162478	0.116526	0.41747	0.240213	0.0128816	0.250625	0.233875	0.517675	0.748813	0.251754	0	0	0	0	0	0	0	0	0	0	0	0.646896
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001918.1.f4eb1507-9e72-4fad-bc11-1462cce349d2.fc.signal	1.02182	1.09328	0.84717	0.1424	0.547694	1.12181	0.394971	0	0.0145554	0.431337	0.608985	0.561263	0.366221	0.0203129	0.0131488	0.452328	1.0383	0.65438	0.0451763	0	0	0	0	0	0	0.484078	0.582303	0.0860713	0	0.164318	0.348829	0.446141	0.23474	0.215961	0	0	0	0	0	0	0	0.241135
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003811.1.34e1eb06-bd04-44e7-b752-6e248f54239d.fc.signal	0.15905	0.0167597	0	0.00827907	0.224585	0.261275	0.0963293	0.292804	0.246705	0.0501304	0	0.125454	0.436038	0.290795	0.340893	0.0848981	0.18591	0.0644483	0	0	0.0730321	0.09295	0.240378	0.559534	0.0339343	0.00348207	0.107434	0.107986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.653067
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000233.3.2ce6c7a2-1501-4bf0-9209-c55a1327303d.fc.signal	1.15118	1.14599	1.03658	1.40572	1.57478	1.31584	1.08477	1.18233	0.90971	0.866927	1.17389	1.15847	0.740179	0.561124	0.605693	0.586913	0.938058	0.85554	0.614165	0.542689	0.356021	0.363825	0.279424	0.254539	0.414308	0.634128	0.694391	0.273008	0.0360893	0	0	0	0	0	0	0.0030155	0.0604728	0.0603314	0.0987061	0.0636329	0.0284481	0.748092
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001901.1.7cf8ca14-d3f1-48ac-b2ef-eee0ebdb6853.fc.signal	0.340005	0.352646	0.145968	0.238603	0.241784	0.302842	0.152935	0.0394235	0.0845712	0.121521	0.238974	0.610577	0.212217	0.215666	0.134136	0.00531221	0	0.00131497	0.173609	0.182048	0	0.0271475	0.0837015	0.206074	0.384776	0.30646	0.0865594	0.0693861	0.09932	0.019864	0	0	0	0	0	0	0	0	0	0	0	0.663717
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000992.7.269c7bdb-5224-43fa-a5d5-7860eaac019c.fc.signal	0.643278	0.898017	1.08565	1.17609	1.27574	1.38027	1.19037	0.750102	0.659074	0.762097	0.966509	0.574192	0.248324	1.07759	0.863072	0.796398	1.08861	0.772305	1.15935	1.64646	1.03293	0.174622	0.654297	0.901983	1.26443	0.553866	0.831024	0.46614	0.298337	0.144115	0	0	0	0	0	0	0	0	0	0	0.0773255	0.618321
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000129.3.acc389c8-306d-460f-95cb-548ca498e7e9.fc.signal	0.572048	0	0	0.32874	1.0802	0.842978	1.78219	0.544939	0	0.460824	0.678547	0.881045	1.04481	0.400577	0	0.688386	1.86089	0.785813	0.578739	0.79643	0.295817	0.0584049	1.34332	0.881386	0.922045	2.36676	1.6913	0.457811	0	0	0	0	0	0	0	0	0	0.637144	0.79643	0.0477858	0	0.729508
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000324.2.afa177cc-ebf6-4778-b3d1-1bbb2401b4e5.fc.signal	1.26249	0.812658	0.724348	0.440186	1.04799	0.455989	0.128138	0.639894	1.1739	1.75989	0.706267	0.324577	0.975511	0.707979	1.00074	0.731912	1.07985	1.29573	0.699557	0.475363	1.54383	0.693303	0.409689	1.86488	1.25167	1.27263	1.63606	0.31512	0	0	0	0	0	0	0	0	0	0.292129	0.381715	0	0	0.773109
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.0997810a-4867-4ba8-9534-ea6e95022077.fc.signal	0.408472	0.176652	0.410236	0.151701	0.00101873	0	0.083046	0.569975	0.385266	0.231299	0.665562	0.187876	0.292996	0.346681	0.672245	0.517266	0.462711	0.00894667	0.00559167	0.312426	0.491299	1.09948	0.908241	0.208421	0.106432	0.445222	0.293338	0.149109	0.23205	0.417268	0.287564	0.246029	0.16775	0.157685	0	0	0	0	0	0	0	0.869474
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001936.1.73056630-65cd-44da-94ab-6886ae9d01cc.fc.signal	1.32823	1.10563	0.658063	0.508175	0.349708	0.293186	0.341367	0.413195	0.408124	0.910899	0.680755	0.23946	0.867174	0.577675	0.340013	0.775205	1.41391	1.55176	1.32694	0.856567	0.512793	0.243423	0.421845	0.558942	0.657621	0.462613	0.627924	0.956493	0.331505	0.205831	0.0554607	0	0	0	0	0	0	0	0.122217	0.136721	0	0.824277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.78bd51d0-e8cc-413f-86cc-b957d9057e5e.fc.signal	0.166034	0.345147	0.459622	1.09784	0.807371	0.290147	0.388351	0.447212	0.442751	1.01833	0.57759	0.374329	0.0895577	0	0	0	0	0.0935828	0.4347	0.490545	0.364408	0.454823	0.43465	0.469696	0.402348	0.448771	0.172072	0.0251567	0	0	0	0	0	0	0	0	0	0	0	0	0.131005	0.858182
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.89a447bb-7116-45ed-914d-ea08ca13224b.fc.signal	0.819517	2.03115	0.825644	0.35718	0.542597	0.856117	0.332752	0.284544	0.483795	1.03108	0.886936	0.327314	0.243679	0.40289	0.354287	0.860636	0.818216	1.10993	0.771609	0.163722	0	0	0.235526	0.366611	0.507076	0.798516	0.680207	0.546301	0.241374	0.005939	0.474582	0.914427	0.260843	0	0	0.0117998	0.314076	0.521918	0.73885	0.755344	1.36533	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.bc3c5401-2679-4e6a-8d23-b4052eee1a8e.fc.signal	0.24339	0.19872	0.226687	0.387864	0.635174	0.669743	0.325698	0.263342	0.45484	0.257635	0.255544	0.389832	0.219387	0.322969	0.316188	0.281128	0.346779	0.669206	0.652217	0.414653	0.356011	0.403411	0.376781	0.26627	0.422591	0.522257	0.371575	0.152627	0	0	0	0	0	0	0	0	0	0	0	0	0.0505115	0.401575
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001902.1.6122ce53-36ab-4726-899c-4019d21224b2.fc.signal	0.0928471	0.117712	0.009123	0.0869353	0.168004	0.171478	0.319032	0.206388	0.167832	0.814968	0.489888	0.152712	0.009072	0.250992	0.411466	0.176398	0.238796	0.102562	0.136419	0.156593	0.06318	0	0.06048	0.195048	0.193922	0.138973	0.027572	0.1134	0.1134	0.0921375	0	0	0	0	0.014364	0.1134	0.1134	0.1134	0.034776	0	0	0.727077
