	chr5:95650617-95650676	chr5:95650677-95650766	chr5:95650767-95650916	chr5:95650917-95651066	chr5:95651067-95651106	chr5:95651107-95651216	chr5:95651217-95651366	chr5:95651367-95651516	chr5:95651517-95651666	chr5:95651667-95651746	chr5:95651747-95651816	chr5:95651817-95651966	chr5:95651967-95652116	chr5:95652117-95652266	chr5:95652267-95652416	chr5:95652417-95652566	chr5:95652567-95652716	chr5:95652717-95652766	chr5:95652767-95652866	chr5:95652867-95652936	chr5:95652937-95653016	chr5:95653017-95653166	chr5:95653167-95653316	chr5:95653317-95653466	chr5:95653467-95653516	chr5:95653517-95653616	chr5:95653617-95653766	chr5:95653767-95653916	chr5:95653917-95653976	chr5:95653977-95654066	chr5:95654067-95654216	chr5:95654217-95654366	chr5:95654367-95654516	chr5:95654517-95654666	chr5:95654667-95654816	chr5:95654817-95654966	chr5:95654967-95655116	chr5:95655117-95655266	chr5:95655267-95655416	chr5:95655417-95655566	chr5:95655567-95655714	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.ea2564bf-c4d4-400e-ac7f-5d44b98fa6dd.fc.signal	0.126082	0.2488	0.45947	0.321368	0.320351	0.438252	0.54457	0.372007	0.0864696	0.0742955	0.281776	0.462964	0.127274	0.239776	0.147481	0	0	0	0	0	0	0	0	0.105449	0.265648	0.217883	0.059573	0	0	0.0944048	0.45142	0.279704	0.0274698	0	0	0	0	0	0.0985172	0.253247	0.0732116	0.643564
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000236.3.50e4b52f-c2ee-4e5a-94ba-4c206af20e08.fc.signal	0	0.146739	0.187764	0.248636	0.198033	0.199473	0.311062	1.27458	1.2978	0.577396	0.365916	0.495911	0.344572	0	0	0	0	0	0	0.13977	0.257144	0.50183	0.282662	0	0.0243796	0.288976	0.884092	1.05927	0.74827	0.718169	0.339536	0.117073	0	0	0	0	0	0	0	0	0	0.44686
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.38d96ded-07f5-41c6-bca5-4d0a649a7511.fc.signal	0	0.0114367	0.20586	0.266246	0.401427	0.127259	0	0	0	0	0.213833	0.401846	0.325259	0.0974404	0.583261	0.0397996	0.144102	0.20586	0.020586	0	0	0.0685367	0.143235	0.464879	0.241773	0.267799	0.409678	0.0116143	0.196834	0.713638	1.08296	0.616227	0.124888	0.381527	0	0	0.27448	0.580519	0.0507788	0.042971	0.332219	0.466667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000310.2.13c9a4f1-6099-46e7-900d-6e97d2b9ea39.fc.signal	1.1785	0	0	0.765685	1.98581	2.3888	0.39907	0	0	0.366887	1.31493	0.407302	1.37756	1.0907	0.47461	0	1.29483	3.06542	0.949828	0.0264813	1.85282	0.555761	0.754603	0.72878	0	0	0	0	0	0	0.113457	1.34826	0	0	0	0	0.0371621	1.05605	0.382634	0.515141	1.83088	0.565574
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000261.2.aa73485b-a7d2-4bb9-8721-ffbe86f89aca.fc.signal	2.41043	1.48003	0.772143	0.366028	0.605012	0.981307	0.335516	0	0.390221	1.00378	1.27311	2.27961	0.912328	0.250704	0.887893	0.980821	1.08512	0.379572	1.02116	1.69222	1.00037	0.467455	1.94315	0.691566	0	0	0	0	0	1.2627	2.46454	0.749065	1.90529	1.90162	0.929315	0.886245	0.946233	2.73115	1.17502	0.787753	1.53593	0.438017
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.a99a5a16-aeda-4bbd-b32c-e69190f2f046.fc.signal	0.132601	0	0	0	0	0	0	0.332825	0.806264	0.448564	0.720206	0.756071	0.0556669	0	0	0	0.0085604	0.278711	0.486735	0.302879	0	0	0.377342	0.19169	0	0.290904	0.921614	0.601695	0.977371	1.3176	1.44479	1.11481	0.603534	0.221051	0	0.179528	0.34519	0.0409479	0	0	0	0.333333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.53f657c9-ccc3-46a9-8812-1aa30d387b18.fc.signal	0.518626	0.629217	0.293499	0.664435	0.879633	0.265896	0.382571	0.437133	0.585212	0.156471	0.290478	0.753265	0.597038	0	0.223505	1.07357	0.165295	0	0.222491	0.562304	0.708414	0.236212	0.714916	0.977861	0.617492	0.281819	0.35875	0.308246	0.864941	0.584562	0.588843	0.486709	0.790485	1.03722	0.73512	0.359227	0.175516	0.255461	0.375822	0.00613567	0	0.425743
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.ac8d699d-9ae8-4731-8d5c-e996a9937a09.fc.signal	1.01671	1.33665	0.727023	0.265845	0.34087	0.489539	0.218157	0	0.166744	0.291391	0.464446	0.795045	0.614765	0.745795	1.25592	0.843544	1.19603	0.984659	1.18706	0.85867	0.616251	0.814596	0.578875	0.353016	0	0.248815	0.561187	0.565729	0.392384	0	0.100636	0.705162	1.18787	0.258693	1.02348	0.160418	0.0163465	0.253536	0.654338	0.627675	0.37636	0.300926
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.e5b6a748-5a0b-4664-9385-4b3edaab31e2.fc.signal	0.037656	0.478793	0.731519	0.179465	0.64867	0.663411	1.18706	0.791375	0.464877	0.742415	0.398714	0.395661	0.841106	1.03879	1.78556	0.664647	0.844272	0.419091	1.22703	1.59401	1.41085	1.09625	0.665965	0.142705	0.64867	0.843269	0.908136	1.51536	1.07458	0.955554	0.819769	0.632446	0.984594	1.71923	0.442095	0.432428	0.761487	0.380347	1.35309	1.80671	1.16874	0.615385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.088d52ff-571b-447d-8cd1-62f5248229a2.fc.signal	0.672908	0.77061	1.04279	0.519106	1.24261	0.785751	0.219004	0.735173	2.16678	0.808045	0.193137	0.52334	1.20351	0.796911	1.17246	0.471851	0.47521	0.857706	0.692326	0.485128	0.351732	0.0602188	0.124905	0.261712	0.611013	0.68341	1.07887	1.2441	0.600502	0.631718	0.384449	0.649051	0.713596	0.719522	0.541423	0.584126	0.879182	0.984585	0.568519	1.17238	0.528601	0.481132
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.0d70dbb5-6bd0-48ac-bde1-b73edc6398bb.fc.signal	2.9883	3.85411	1.49548	0	0.249848	0.681411	1.12501	1.41732	1.29096	1.79971	1.39203	1.75313	0.57209	0.371853	0.610795	0.552021	0.380451	0.709889	0.820361	0.331746	0.153912	0.561593	0.161577	0.0682024	0.50651	1.19073	0.43709	0.557647	0.687965	0.091604	0.850005	1.40258	0.378908	0	0.0350615	0.540389	0.117516	1.12687	0.954276	0.591099	0.406321	0.447059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.efaf5424-48a2-426f-8f4e-0fdd590e949e.fc.signal	0.16087	0.211452	0.462441	0.270613	0.137655	0.129184	0.205373	0.434616	0.374169	0.081485	0	0	0	0.0578675	0.128537	0.0727891	0.162718	0.260063	0.452182	0.420424	0.217569	0.0597391	0.142656	0.118478	0.0295838	0	0.0518622	0.236094	0.346865	0.32303	0.161443	0.257317	0.206141	0.152214	0.165111	0.100276	0.179281	0.188179	0.0632265	0	0.0498546	0.333333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.793fc11e-e9ef-4476-a0d2-85f945a7ed27.fc.signal	0.561922	0.645665	0.269975	0.0197293	0	0.0316575	0.596089	1.00689	1.01404	1.55633	1.30943	0.304001	0	0	0	0	0.147388	1.86081	3.88746	4.14542	3.85177	1.02252	0.22721	0.0491264	0.46056	0.783324	2.18639	2.45091	1.33198	0	0	0	0	0	0	0	0	0	0	0	0	0.305677
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000728.1.160dc729-3f4c-431d-bee2-17192f02de04.fc.signal	0	0	0.461703	0.468399	0.471374	0.0160304	0	0.922065	1.14527	0.54512	0.979545	1.23024	1.03598	0.977663	0.728101	0.633882	1.03379	0.779259	1.2453	1.06906	1.44776	0.882591	0.721179	0.511679	0.527535	0.790502	0.425503	0.473724	0	0	0.00804253	0.383443	0	0.0938066	1.07041	1.26735	0.950897	0.861403	0.791418	0.294058	0.955602	0.259259
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.47bafce5-cf92-4589-82d6-1f8a597d67d2.fc.signal	0	0	0	0	0	0	0.057789	1.64355	1.37485	0.141288	0	0	0	0	0	0	0	0	0.0200992	0.366029	1.54796	2.29254	1.80354	1.13827	0.20988	0.2466	0.517889	0.46139	0.14245	0.0667346	0	0	0	0	0	0	0	0.381826	1.36316	0.919365	0.237659	0.50495
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.979da4d3-974d-4990-8869-1f61f20d4ee3.fc.signal	1.40444	2.15022	1.95368	1.05892	0.442205	0.335479	0.223206	0.535381	0.670456	0.28602	0	0.323114	0.080934	0	0.16418	0.469364	0.843384	0.714911	1.0932	1.40635	0.809015	0.840622	1.23176	0.960693	0.71217	1.01712	0.802556	0.767343	0.699173	0.490485	0.603706	0.349052	0.675135	0.531715	0.375725	0.414605	0.600794	0.444291	0.381559	0.578751	0.518105	0.313636
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000330.2.54562357-3f35-441b-ad5b-59b7ae24600f.fc.signal	0.904014	0.928699	0.231527	0	0	0.57757	0.403253	0.0337045	0.49754	0.576289	0.31598	0	0.506005	0.411242	0	0	0	0	0.549496	0.776524	0.282126	0.755928	1.05689	0	0	0	0	0	0	0.313515	0.680372	0.981654	0.870414	0.411677	0.56501	0.857743	0.812673	1.09366	1.99878	2.17662	0.981672	0.601533
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.29b88f8a-5864-41d5-9d2e-8cf436621ef7.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004617.2.072627d2-ab52-4b94-ab51-9e9d905bc824.fc.signal	0.97766	1.09725	0.652429	0	0	0.174155	0.564025	0.0943104	0.420545	0.77378	0.703258	0.450013	0.762512	1.26755	0.772765	0.814008	0.247016	0	0	0	0	0	0	0.299811	0.978675	0.970997	0.915257	1.33379	0.683138	0.231061	0.519731	0.196594	0	0.215447	0.441185	0.761879	1.38287	0.731923	0.950879	0.951908	0.920731	0.653846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.280608e3-f2db-495d-8512-5761688a7d39.fc.signal	0	0	0	0	0	0	0	0.399667	0.921955	0.0766406	0	0	0.317917	0.672165	1.05366	0.117898	1.40065	0.694875	1.84814	1.81132	1.38575	0.822038	1.24811	1.14804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900928	1.02922	0.656263	0.683099
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001488.1.f277fd12-ef1b-437b-8412-8210645647cd.fc.signal	0	0	0	0	0	0	0	0.366716	0.136893	0	0	0	0	0.524988	0.141427	0	0.715199	0.988934	0.130583	0	0	0	0.107494	0.502513	0	0	0	0	0	0	0	0	0.497303	1.15196	0.43106	0.649414	0.0568674	0	0	0	0	0.417178
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.f60db18a-9bf4-4a85-95cc-68f3cffdac0c.fc.signal	0	0	0	0	0	0	1.6953	3.38692	0.395804	6.57025	6.11035	0.112319	0	0	0	0	0	0	0	0	0	0	0.71572	3.56831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66124	3.38543	0.769697
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.c4a2d88f-1de5-4172-8460-f71aa0a40d72.fc.signal	0	0	0	0	0	0	0.0729557	1.38449	0.188911	0	0	0	0.124036	4.13538	2.27625	0.814257	0	0.545182	1.64528	2.41995	3.51692	1.62906	1.65059	0.567486	0.926939	0.365488	0.457813	0.126125	0	0	1.38263	0.375901	0	0	0	0	0.447828	0.954069	1.7329	2.9581	3.69025	0.481707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000194.3.9b81160b-c764-4c34-9ec6-4766d8fea0c2.fc.signal	0.726715	0.306879	0	0.382659	1.47463	1.53778	0.683047	0.490731	1.08283	1.86735	1.85474	1.38394	0.259734	0	0.380656	0.679367	0.632055	0.509942	0.602293	0.644116	0.422926	0.903345	0.61737	0.570659	0.365806	0.334252	0	0.229343	0.831357	0.804954	0.494517	0.716487	0.956568	0.677837	0.675842	0.924481	0.380628	0.11253	0.163154	0.22353	0.961578	0.435583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.34f373d0-ec85-43e8-be9c-456d096f409b.fc.signal	0.125207	1.80773	1.75778	0.929686	0.642197	0.3208	0.0117036	0	0.0570546	0.477422	0.224213	0.0698825	0.500269	0.00767573	0	0.174815	0.416095	0	0	0.0842933	0.950304	1.08667	0.166393	0.0463747	0.4409	0.410726	0	0.185029	0.513924	0.0959601	0.228339	0.128547	0	0.178113	0.383541	0	0.313035	0.79465	0.746654	0.275591	0.339687	0.786164
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001854.4.221dc4c8-df92-4d92-a47c-49ab8394aec7.fc.signal	0.604296	1.003	0.632256	0.145924	0.166167	0.143072	0.443547	0.618623	0.388307	0.351756	0.378907	0.223627	0.297504	0.455173	0.446099	0.91316	1.12703	0.792547	0.739255	0.422775	0.106794	0.191722	0.892716	0.734263	0.544708	0.360835	0.438286	0.492131	0.499401	0.625025	0.683142	0.868388	0.281339	0.398613	0.24629	0.152116	0.805856	1.08441	0.528056	0.499584	0.503033	0.210031
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.3d784b78-f4bc-495c-ac9b-3091418dd4cd.fc.signal	1.572	1.98981	0.635958	0.400834	1.17893	1.53724	0.984079	0	0.600621	0.79264	0.597032	0.550282	0.659113	0.235411	0.540657	0.294555	1.32613	1.07441	0.968956	0	0.176838	0.551025	0.080328	1.27049	0.44852	0.120492	0.00603067	0.4523	0.248765	0.0301517	0.506699	0.160068	0	0	0	0.279011	0.78595	0.389044	0.493189	0.644133	0.541667	0.438914
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001013.4.693f5b6b-5914-4fc3-8d42-3cb06b12471b.fc.signal	0	0	0	0.533748	0.65625	0.167043	0	0	0.699996	0.976167	0.449996	0.724059	0.339062	0	0	0	0	0	0.250262	0.968146	1.21796	0.517692	0.667961	0.663261	0.017532	0	0.130645	0.614702	0.132939	0	0	0	0	0	0	0.112029	0.492618	0.390274	0.374272	0.409656	0.42098	0.287037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.b312b64f-9e57-40a1-8990-36799deb53e5.fc.signal	0	0.135735	0.806747	0.288453	0.192732	0	0	0.353206	1.11519	1.20271	0.244359	0.368323	0.50622	0.200812	0.310104	0.0384233	1.3012	0.855712	0.362609	1.24139	1.43042	0.793437	1.0491	0.896032	0.760807	1.8994	1.71359	0.0317259	0.0700687	0.42228	0.179169	0	0.51774	0.614787	0.728204	0.0185491	0.296538	0.875841	0.965532	0.520584	0.0249459	0.259928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001921.1.e0431336-7ca3-491c-a874-4a2ee7005698.fc.signal	0	0	0	0	0	0.334822	0.412611	0.0364409	0	0	0	0	0.212241	0.287336	0.0247307	0	0.210361	0.360306	0.576655	0.689749	0.738772	0.859892	0.498381	0.135127	0.328782	0.49072	0.234588	0	0	0	0.0343504	0.46782	0.282982	0	0	0	0.343504	0.335245	0.038874	0.204256	0.240652	0.266234
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.f1a05120-9b28-47d7-97dd-561e9dce1de5.fc.signal	0	0.431852	0.822581	0.0850616	0	0	0.0654347	2.80736	0.679188	0.621539	0.557205	0.328741	0.503104	0.417807	0.0879141	0.353123	0.43467	0.535814	0.107175	0	0.337171	0.289933	0.44424	1.37827	1.01336	0.4907	0	0	0	0.73961	1.82642	0.744505	0.524593	0.92929	0.770767	0	0.476623	0.292968	0	0	0.193672	0.536585
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003835.4.7cb1b260-ca75-46bb-8f6a-650a6447c78b.fc.signal	0	0.230639	0.924408	0.763881	0	0	0.466836	1.01288	1.12731	0.866234	0.78757	0.52684	0.415155	0.247092	0.272272	0.670925	0.469664	0	0	0	0.285418	1.06835	0.94932	0.905332	0.770936	0.647314	0.284497	0	0	0.322877	0.304596	0.325295	0	0	0.560465	0.245212	0	0.244887	0.191596	0.186204	1.34636	0.83871
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.ccd0be12-ccb0-4c4e-b1e2-a054444b344c.fc.signal	1.23138	1.30572	0.885097	0.6715	0.552641	0.583538	1.41509	0.871183	0.425646	0.789046	0.127778	0.523523	0.686476	0.340417	0.434048	0.486427	0.380297	0	0	0	0	0.0414332	0.465329	0.624329	0.255905	0.211073	0.184987	0.7593	0.540708	1.35146	1.04759	0.361369	0	0	0	0.0159407	0.37598	0.187936	0	0.133479	0.077237	0.323529
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003827.1.933a7d27-4354-4302-9c64-4b388ac0b67b.fc.signal	0.606462	0.52731	0.320317	0.159051	0	0	0.189012	0.301135	0.0413024	0	0.025814	0.662796	0.278962	0.30313	0.113498	0	0.0950739	0.830012	1.2361	0.521947	0.0797205	0	0.601017	0.331275	0.533532	0.84543	0.183105	0	0.215849	0.25814	0.065383	1.05118	0.609045	0.246046	0.466235	0.564329	0.973804	1.26096	0.668075	0.447308	0.482033	0.423645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000112.3.e8b08299-c713-4837-8777-697edd78e8c4.fc.signal	4.26456	1.8979	1.68318	0.243837	1.17748	2.298	3.13311	2.27397	1.42902	1.69153	2.19173	2.45975	1.12991	1.27017	0.820973	1.07234	0.689606	1.05909	1.16782	1.67417	1.95499	2.12949	2.79547	1.35942	1.16119	1.01975	0.0727082	1.53892	3.27979	2.94415	1.7341	1.50932	1.35375	3.80788	4.78078	2.84269	1.92962	1.35681	1.5212	3.16776	2.68727	0.582707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003830.4.0fee77cc-ad56-4f5b-bfb6-451051158efc.fc.signal	2.88239	3.37232	1.29656	2.79272	3.82637	1.14769	0.0288217	0	3.53938	3.74149	2.9645	3.40741	1.56929	0.271833	0.553376	2.21939	2.80744	2.59413	2.82935	1.36015	1.50592	2.25482	0.441129	0.874616	2.72796	3.26366	1.671	0.68114	2.29019	2.80968	1.30562	1.45269	5.75316	8.60094	4.07304	1.80475	3.46185	4.42082	3.88204	3.04647	2.83617	0.467422
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.68f6c400-c106-443e-8636-56b5afbcfe6d.fc.signal	1.12301	1.16903	0.413658	0.0430862	0.692631	1.33893	0.773735	0.649719	0.924129	0.472152	0.434462	0.808332	0.90408	1.14953	1.30344	0.964811	0.260978	0.615713	0.913467	0.682399	0.64028	0.847371	0.792898	0.609704	0.470723	0.701802	0.531693	0.404057	0.494609	1.09528	1.612	0.852317	0.325394	0.795077	0.94043	0.630842	1.4581	1.36962	0.824728	1.14052	0.849944	0.669421
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.aa825751-1900-4a19-81df-fe3780ad3aed.fc.signal	2.23122	2.47323	2.53574	2.05332	1.70073	1.76544	1.09579	1.18159	1.14434	0.922308	0.779545	0.673622	0.564117	0.581952	0.892086	0.600009	0.363151	0.206951	0.513366	0.777395	0.667701	0.578012	0.591198	0.680398	0.67442	0.403469	0.33162	0.165843	0.0564155	0.146099	0.322369	0.321154	0.185813	0.595442	0.258517	0.0556902	0.252283	0.730902	0.632156	0.412945	0.209976	0.343034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.9815b17b-4b2f-4371-98fe-9b674b10f52b.fc.signal	0.296422	0.416686	0.267813	0.418011	0.211591	0.227194	0.986688	0.676083	0.801096	0.567065	0.20849	0.53905	0.527906	0.268603	0.663702	0.579956	0.603587	0.864254	0.721961	0.594205	0.664983	0.88757	0.718779	0.281415	0.151693	0.329897	0.278648	0.137787	0.488983	0.853936	0.867335	1.18825	0.80181	0.361457	0.472365	0.651454	0.789177	0.644296	0.27798	0.0265867	0.478099	0.1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.a1786588-e489-4c70-a7da-27b695059d11.fc.signal	0.00834933	0.506517	0.569417	0.258829	0	0	0	0	0	0.372583	0.50095	0.135257	0.0467563	0.435477	0.271698	0.333917	0.0333973	0	0	0	0	0	0	0.0188774	0.224571	0.428314	0.75644	0.97519	0.313097	0.0333973	0.322279	0.245467	0	0	0	0	0	0	0	0	0.0510009	0.374046
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000734.3.fc3ea2cc-fde7-4c36-bf2d-c79dc5b2ca08.fc.signal	0.947477	0.819269	0.284698	0.197759	0.543775	0.420059	0.623004	0.611279	0.437275	1.0022	1.79986	1.8413	1.08005	0.739555	0.897141	1.47822	1.44816	1.58486	1.35772	1.57571	1.20841	0.768269	1.1833	0.840019	0.637665	0.284021	0.745474	0.616627	1.29493	1.80961	2.69201	2.29552	2.30968	1.87964	1.52134	0.844998	1.11758	1.01298	0.602777	0.926569	0.82945	0.391304
